DATE,Month,Number,TL,FL,SL,WGHT,SEX,Gross Mat,AGE,M_CODE,gonad wt,OFBW,GSI,maturity,source
12/16/2003,12,AP002,431,390,332,1319.2,2,3,4,6,8.6,1310.6,0.656188005,1,gcrl
12/16/2003,12,AP003,458,410,353,1567.5,2,4,4,6,16.5,1551,1.063829787,1,gcrl
12/16/2003,12,AP007,388,350,297,1006.3,2,3,3,5,9,997.3,0.902436579,1,gcrl
12/17/2003,12,AP011,446,406,354,1524.6,2,3,4,6,9.5,1515.1,0.627021319,1,gcrl
12/17/2003,12,AP013,437,395,342,1441.5,2,5,4,6,15.6,1425.9,1.094045866,1,gcrl
1/13/2004,1,AP017,487,441,381,1989.4,2,4,4,6,18.9,1970.5,0.959147425,1,gcrl
1/13/2004,1,AP018,395,355,306,1014.7,2,4,4,6,7.3,1007.4,0.724637681,1,gcrl
1/13/2004,1,AP021,422,380,330,1463.3,2,4,3,6,15.6,1447.7,1.07757132,1,gcrl
1/14/2004,1,AP022,402,364,311,1185,2,4,3,6,12.3,1172.7,1.048861601,1,gcrl
1/16/2004,1,AP025,401,363,315,1261.2,2,4,4,5,11.7,1249.5,0.93637455,1,gcrl
1/26/2004,1,AP027,270,244,210,367.4,2,1,1,6,0.5,366.9,0.136276915,0,gcrl
1/26/2004,1,AP029,278,255,212,432.8,2,2,4,4,2.8,430,0.651162791,0,gcrl
1/29/2004,1,AP033,382,344,303,983.1,2,6,4,5,14,969.1,1.444639356,1,gcrl
1/29/2004,1,AP036,456,410,352,1669.7,2,6,4,6,16.4,1653.3,0.991955483,1,gcrl
2/26/2004,2,AP038,372,339,291,933.1,2,3,3,6,15.3,917.8,1.667029854,1,gcrl
2/27/2004,2,AP039,353,321,280,744.3,2,3,2,6,5.5,738.8,0.74445046,0,gcrl
2/27/2004,2,AP040,489,440,383,2253.5,2,6,3,6,207.8,2045.7,10.15789216,1,gcrl
3/2/2004,3,AP041,491,449,392,1999.2,2,5,3,6,44.3,1954.9,2.266100568,1,gcrl
3/9/2004,3,AP042,384,346,301,937.9,2,3,3,6,13,924.9,1.405557358,1,gcrl
3/11/2004,3,AP043,301,275,240,508.6,2,3,1,5,3,505.6,0.59335443,1,gcrl
3/11/2004,3,AP048,320,292,246,576.5,2,3,1,6,3.4,573.1,0.593264701,0,gcrl
3/11/2004,3,AP050,289,262,216,458.5,2,3,1,5,1.9,456.6,0.416119141,0,gcrl
3/15/2004,3,AP052,476,432,378,2187.7,2,6,4,6,190.1,1997.6,9.516419704,1,gcrl
3/16/2004,3,AP054,375,338,290,907,2,3,3,5,7.2,899.8,0.800177817,1,gcrl
3/16/2004,3,AP055,285,259,223,416.8,2,4,1,6,1.8,415,0.43373494,0,gcrl
