DATE,Month,Number,TL,FL,SL,WGHT,SEX,Gross Mat,AGE,M_CODE,gonad wt,OFBW,GSI,maturity,source
3/18/2004,3,AP057,458,415,360,1779.1,2,6,4,5,128.9,1650.2,7.811174403,1,gcrl
3/18/2004,3,AP061,304,275,232,556,2,2,1,6,1.7,554.3,0.306693126,0,gcrl
3/29/2004,3,AP066,420,375,322,1279.3,2,7,4,6,200.4,1078.9,18.574474,1,gcrl
3/29/2004,3,AP067,396,360,307,1159.1,2,7,3,6,157.2,1001.9,15.69018864,1,gcrl
3/29/2004,3,AP068,375,336,291,914.5,2,7,4,5,120,794.5,15.10383889,1,gcrl
3/29/2004,3,AP069,454,416,355,2023.7,2,7,3,5,242,1781.7,13.58253354,1,gcrl
3/29/2004,3,AP070,346,312,268,701.3,2,7,4,6,98.5,602.8,16.34041141,1,gcrl
3/29/2004,3,AP075,401,372,321,1248.1,2,7,4,4,190.1,1058,17.96786389,1,gcrl
3/29/2004,3,AP076,418,375,325,1239.6,2,7,5,6,118.1,1121.5,10.53053946,1,gcrl
4/19/2004,4,AP079,344,312,270,668.4,2,4,3,5,10.3,658.1,1.565111685,1,gcrl
4/19/2004,4,AP082,496,452,390,1833.6,2,7,3,5,91,1742.6,5.222081947,1,gcrl
4/19/2004,4,AP083,403,376,322,1147.4,2,7,3,6,71.8,1075.6,6.675343994,1,gcrl
4/19/2004,4,AP084,349,320,271,675.4,2,9,3,5,2.9,672.5,0.431226766,1,gcrl
5/7/2004,5,AP085,346,316,260,733.9,2,11,5,6,4.8,729.1,0.658345906,1,gcrl
5/7/2004,5,AP088,330,303,261,659.5,2,11,6,6,4.6,654.9,0.702397313,1,gcrl
5/17/2004,5,AP089,294,269,225,405.4,2,11,1,1,1.9,403.5,0.470879802,1,gcrl
6/29/2004,6,AP090,304,275,234,522.4,2,9,2,4,2.3,520.1,0.442222649,1,gcrl
6/29/2004,6,AP091,412,378,325,1130.2,2,10,4,6,3.5,1126.7,0.310641697,1,gcrl
7/14/2004,7,AP092,404,385,314,1220.7,2,11,3,3,4.9,1215.8,0.403026814,1,gcrl
7/15/2004,7,AP093,365,330,281,747.6,2,11,4,6,3,744.6,0.402900886,1,gcrl
7/15/2004,7,AP094,405,365,321,999.9,2,11,3,4,5,994.9,0.502563072,1,gcrl
8/3/2004,8,AP097,462,418,360,1653.3,2,11,4,6,6,1647.3,0.36423238,1,gcrl
8/3/2004,8,AP098,413,376,328,1177.5,2,9,3,6,5.1,1172.4,0.435005118,1,gcrl
8/3/2004,8,AP099,425,385,335,1315.1,2,9,3,5,6.7,1308.4,0.512075818,1,gcrl
8/3/2004,8,AP100,548,500,442,3006.2,2,11,,,5.2,3001,0.173275575,,gcrl
8/3/2004,8,AP101,281,256,218,403,2,9,1,5,0.8,402.2,0.198906017,1,gcrl
9/10/2004,9,AP104,308,279,241,481.9,2,2,3,4,2.1,479.8,0.437682368,1,gcrl
9/10/2004,9,AP105,350,321,275,777.2,2,11,4,3,0.5,776.7,0.06437492,1,gcrl
9/10/2004,9,AP106,388,354,306,1030.8,2,2,4,3,4.1,1026.7,0.399337684,1,gcrl
9/28/2004,9,AP107,234,213,180,230,2,2,1,4,0.4,229.6,0.174216028,0,gcrl
10/20/2004,10,AP109,325,299,255,602.9,2,2,2,4,3.1,599.8,0.516838946,1,gcrl
10/20/2004,10,AP111,329,300,255,665.1,2,2,2,5,2.6,662.5,0.39245283,1,gcrl
10/28/2004,10,AP114,368,328,282,858.1,2,3,5,5,4.5,853.6,0.527179007,1,gcrl
11/29/2004,11,AP120,386,350,302,1008.3,2,2,2,6,6.6,1001.7,0.658879904,1,gcrl
11/29/2004,11,AP121,410,371,325,1203.3,2,2,3,5,9.2,1194.1,0.770454736,1,gcrl
11/29/2004,11,AP122,444,400,351,1336.1,2,3,4,6,11.3,1324.8,0.852958937,1,gcrl
11/29/2004,11,AP127,432,391,340,1453.7,2,3,4,5,15.3,1438.4,1.063681869,1,gcrl
12/3/2004,12,AP129,445,403,351,1336.8,2,2,3,,10.4,1326.4,0.784077201,1,gcrl
12/3/2004,12,AP130,494,440,381,2260.6,2,2,5,,16.2,2244.4,0.721796471,1,gcrl
12/3/2004,12,AP131,389,350,302,1014.5,2,2,3,,8.9,1005.6,0.885043755,1,gcrl
12/6/2004,12,AP139,355,330,285,914.4,2,2,2,,6.2,908.2,0.682669016,1,gcrl
12/15/2004,12,AP142,416,381,330,1213.9,2,3,4,,13.4,1200.5,1.116201583,1,gcrl
12/15/2004,12,AP143,461,410,360,1678.2,2,3,4,,15.5,1662.7,0.93221868,1,gcrl
2/16/2005,2,AP146,374,332,295,873.9,2,3,4,,8.3,865.6,0.958872458,1,gcrl
2/16/2005,2,AP147,275,246,212,376,2,3,2,,2.7,373.3,0.723278864,1,gcrl
3/18/2005,3,AP153,367,334,286,902.6,2,3,2,,3.3,899.3,0.366952074,1,gcrl
4/16/2005,4,AP155,558,518,450,,2,6,5,,,,,1,gcrl
4/16/2005,4,AP156,555,515,453,,2,7,5,,, ,,1,gcrl
4/16/2005,4,AP157,522,478,416,,2,6,4,,, ,,1,gcrl
4/16/2005,4,AP158,549,501,443,,2,7,5,,, ,,1,gcrl
4/16/2005,4,AP159,515,473,418,,2,7,4,,, ,,1,gcrl
4/20/2005,4,AP160,501,455,394,1860.4,2,9,4,,15.5,1844.9,0.840153938,1,gcrl
4/22/2005,4,AP164,529,485,420,2342.4,2,6,5,,90.8,2251.6,4.032687866,1,gcrl
6/23/2005,6,AP168,376,340,292,931.6,2,9,3,,3.3,928.3,0.355488527,1,gcrl
6/30/2005,6,AP171,391,353,303,1074.3,2,9,6,,5.4,1068.9,0.505192254,1,gcrl
6/30/2005,6,AP173,439,396,345,1651.8,2,9,4,,6.5,1645.3,0.39506473,1,gcrl
6/30/2005,6,AP174,388,349,307,1046.3,2,9,4,,5,1041.3,0.480169019,1,gcrl
6/30/2005,6,AP175,421,377,329,1315.3,2,9,2,,4.6,1310.7,0.350957504,1,gcrl
7/3/2005,7,AP176,522,475,417,2416.3,2,9,10,,17.4,2398.9,0.725332444,1,gcrl
7/27/2005,7,AP180,86,71,46,120.4,2,1,1,,0,120.4,,0,gcrl
7/29/2005,7,AP181,354,319,274,794.1,2,1,4,,1.2,792.9,0.151343171,,gcrl
8/12/2005,8,AP182,310,280,240,481.3,2,9,3,,1.3,480,0.270833333,1,gcrl
8/12/2005,8,AP183,278,250,216,337.7,2,9,2,,0.7,337,0.207715134,1,gcrl
8/19/2005,8,AP184,352,315,272,694.3,2,2,5,,3.5,690.8,0.506658946,1,gcrl
8/19/2005,8,AP185,456,402,349,1362.8,2,2,12,,7.2,1355.6,0.531130127,1,gcrl
10/14/2005,10,AP186,444,398,344,1481,2,3,5,,8.8,1472.2,0.597744872,1,gcrl
10/27/2005,10,AP188,388,352,302,1037.3,2,4,2,,7.4,1029.9,0.718516361,1,gcrl
10/27/2005,10,AP189,398,362,313,1140.5,2,3,2,,5.3,1135.2,0.466878083,1,gcrl
10/27/2005,10,AP190,448,410,354,1728,2,4,6,,20.5,1707.5,1.200585652,1,gcrl
10/31/2005,10,AP194,434,400,341,1617.8,2,5,4,,14.4,1603.4,0.898091555,1,gcrl
10/31/2005,10,AP196,550,500,434,2510.8,2,2,6,,0.4,2510.4,0.015933716,1,gcrl
11/29/2005,11,AP197,470,420,365,1573.8,2,2,5,,15.8,1558,1.014120668,1,gcrl
11/30/2005,11,AP198,365,332,284,1024.5,2,2,2,,6.4,1018.1,0.628621943,1,gcrl
11/30/2005,11,AP199,404,362,313,1261.2,2,2,3,,10.8,1250.4,0.863723608,1,gcrl
11/30/2005,11,AP200,480,446,375,2289.4,2,2,9,,22.9,2266.5,1.010368409,1,gcrl
11/30/2005,11,AP202,374,340,292,892.3,2,2,2,,6.5,885.8,0.733799955,1,gcrl
11/30/2005,11,AP204,361,329,288,849,2,2,2,,5.1,843.9,0.604337007,1,gcrl
11/30/2005,11,AP205,385,352,310,1131.8,2,2,2,,7.4,1124.4,0.65812878,1,gcrl
12/6/2005,12,AP206,446,401,349,1329.1,2,2,3,,11.3,1317.8,0.857489756,1,gcrl
12/7/2005,12,AP207,458,414,360,1825.1,2,2,4,,15.3,1809.8,0.845397281,1,gcrl
12/20/2005,12,AP213,461,416,376,1678,2,4,6,,15.1,1662.9,0.908052198,1,gcrl
1/9/2006,1,AP216,436,395,344,1321.9,2,3,4,6,10.4,1311.5,0.792985132,1,gcrl
1/25/2006,1,AP218,301,279,238,528.3,2,3,1,6,2.7,525.6,0.51369863,1,gcrl
1/25/2006,1,AP220,431,382,333,1525.2,2,2,3,5,13.7,1511.5,0.906384386,1,gcrl
3/27/2006,3,AP223,395,358,320,1078.3,2,7,5,6,116.9,961.4,12.15935095,1,gcrl
3/27/2006,3,AP225,348,311,281,774.1,2,6,3,6,63.4,710.7,8.920782327,1,gcrl
3/27/2006,3,AP230,391,351,313,1087.2,2,6,3,3,75.1,1012.1,7.420215394,1,gcrl
3/27/2006,3,AP231,414,384,340,1310.9,2,7,3,5,123.5,1187.4,10.40087586,1,gcrl
3/27/2006,3,AP232,471,436,389,1907.9,2,8,6,6,284.6,1623.3,17.53218752,1,gcrl
3/29/2006,3,AP234,445,410,363,1718.2,2,7,6,6,181.2,1537,11.78919974,1,gcrl
3/29/2006,3,AP236,472,430,381,1998.7,2,7,6,6,166.6,1832.1,9.093390099,1,gcrl
3/29/2006,3,AP237,402,366,315,1173.1,2,7,5,6,119.6,1053.5,11.35263408,1,gcrl
3/29/2006,3,AP238,395,356,310,1236.4,2,7,4,6,188.7,1047.7,18.01088098,1,gcrl
3/29/2006,3,AP241,590,530,471,3960,2,7,9,6,405.3,3554.7,11.40180606,1,gcrl
3/29/2006,3,AP242,600,567,504,4600,2,7,7,6,600.6,3999.4,15.01725259,1,gcrl
4/3/2006,4,AP246,441,402,351,1665.8,2,6,6,6,147.3,1518.5,9.7003622,1,gcrl
4/3/2006,4,AP248,424,384,337,1539.7,2,4,3,5,22.8,1516.9,1.503065462,1,gcrl
4/5/2006,4,AP249,518,473,416,2490.1,2,7,5,5,237.3,2252.8,10.53355824,1,gcrl
4/13/2006,4,AP252,415,373,326,1291.5,2,3,2,6,8.4,1283.1,0.654664484,1,gcrl
4/13/2006,4,AP253,414,373,323,1251.7,2,6,3,4,13.1,1238.6,1.057645729,1,gcrl
4/27/2006,4,AP254,421,380,332,1277.7,2,11,5,6,8.2,1269.5,0.645923592,1,gcrl
4/27/2006,4,AP255,454,407,350,1602.3,2,9,3,5,5.8,1596.5,0.363294707,1,gcrl
4/27/2006,4,AP256,411,368,322,1341.9,2,10,2,5,6.5,1335.4,0.486745544,1,gcrl
5/12/2006,5,AP257,404,362,313,1134.2,2,9,2,6,4.4,1129.8,0.38944946,1,gcrl
5/12/2006,5,AP258,383,345,299,1025.2,2,9,3,6,3.1,1022.1,0.303297133,1,gcrl
5/30/2006,5,AP259,430,388,337,1610.8,2,11,3,5,1.8,1609,0.111870727,1,gcrl
5/30/2006,5,AP262,367,333,283,996.9,2,9,3,4,4.7,992.2,0.47369482,1,gcrl
5/30/2006,5,AP263,412,371,319,1355.5,2,9,3,1,4.3,1351.2,0.318235642,1,gcrl
8/17/2006,8,AP264,440,410,354,1549.9,2,11,3,5,1,1548.9,0.064561947,1,gcrl
10/2/2006,10,AP267,356,322,278,810.5,2,2,3,4,5.5,805,0.683229814,1,gcrl
10/2/2006,10,AP268,380,344,299,950.5,2,2,5,4,6.2,944.3,0.656571005,1,gcrl
11/28/2006,11,AP269,323,288,254,608.9,2,3,1,6,2.9,606,0.478547855,1,gcrl
12/15/2006,12,AP271,433,390,341,1500,2,5,3,4,19.9,1480.1,1.34450375,1,gcrl
12/15/2006,12,AP273,452,412,358,1680,2,4,3,5,14.5,1665.5,0.870609427,1,gcrl
2/8/2007,2,AP275,472,424,372,1960,2,3,,,19.6,1940.4,1.01010101,1,gcrl
2/22/2007,2,AP276,532,489,423,2575.7,2,3,,,33.3,2542.4,1.309786029,1,gcrl
2/22/2007,2,AP279,355,318,270,735.3,2,3,,,6.5,728.8,0.891877058,1,gcrl
2/28/2007,2,AP280,379,342,296,1018.8,1,2,,,0.8,1018,0.078585462,,gcrl
2/28/2007,2,AP283,404,374,317,1382.1,2,3,,,33.1,1349,2.453669385,1,gcrl
2/28/2007,2,AP284,404,368,315,1186.4,2,2,,,14.8,1171.6,1.263229771,1,gcrl
3/7/2007,3,AP286,437,395,343,1595.2,2,3,,,36.3,1558.9,2.328565014,1,gcrl
3/7/2007,3,AP287,394,358,313,1203.9,2,4,,,49.9,1154,4.324090121,1,gcrl
3/7/2007,3,AP288,437,394,345,1628.3,2,4,,,53.9,1574.4,3.423526423,1,gcrl
3/7/2007,3,AP292,537,491,432,3080,2,5,,,143.6,2936.4,4.890341915,1,gcrl
3/7/2007,3,AP293,455,409,357,1732.6,2,3,,,18.1,1714.5,1.055701371,1,gcrl
3/7/2007,3,AP294,332,306,259,782.5,2,2,,,4.6,777.9,0.591335647,1,gcrl
3/22/2007,3,AP295,401,361,312,1148.1,2,2,,,8.9,1139.2,0.78125,1,gcrl
3/26/2007,3,AP297,397,360,310,1099.3,2,7,,,94.8,1004.5,9.43753111,1,gcrl
3/26/2007,3,AP298,440,399,347,1701.6,2,7,,,223.8,1477.8,15.14413317,1,gcrl
3/26/2007,3,AP299,510,465,410,2708.2,2,7,,,423.3,2284.9,18.52597488,1,gcrl
3/26/2007,3,AP300,482,439,385,2098.9,2,7,,,232.9,1866,12.4812433,1,gcrl
3/26/2007,3,AP301,401,369,321,1281.1,2,7,,,180.3,1100.8,16.37899709,1,gcrl
3/26/2007,3,AP302,476,435,374,1910.3,2,8,,,301.7,1608.6,18.75543951,1,gcrl
3/26/2007,3,AP303,422,389,340,1407.1,2,7,,,199.2,1207.9,16.49143141,1,gcrl
3/26/2007,3,AP304,425,388,334,1369.7,2,8,,,143.4,1226.3,11.69371279,1,gcrl
3/29/2007,3,AP308,285,260,225,460.9,2,2,,,1.9,459,0.413943355,1,gcrl
3/29/2007,3,AP310,320,290,254,666.4,2,2,,,3.4,663,0.512820513,1,gcrl
3/29/2007,3,AP311,408,370,327,1332.3,2,3,,,14.9,1317.4,1.131015637,1,gcrl
3/29/2007,3,AP312,388,350,309,1163.5,2,2,,,6.6,1156.9,0.570490103,1,gcrl
3/29/2007,3,AP314,441,399,347,1602.4,2,4,,,71.6,1530.8,4.677292919,1,gcrl
3/29/2007,3,AP315,206,190,161,174.8,2,1,,,0.2,174.6,0.114547537,,gcrl
4/2/2007,4,AP316,445,401,350,1732.1,2,7,,,119.7,1612.4,7.423716199,1,gcrl
4/2/2007,4,AP317,445,405,353,1455.7,2,6,,,49.3,1406.4,3.505403868,1,gcrl
4/2/2007,4,AP318,464,416,360,1549.3,2,7,,,39.1,1510.2,2.589061052,1,gcrl
4/2/2007,4,AP319,446,410,360,1554.1,2,7,,,120.9,1433.2,8.435668434,1,gcrl
4/2/2007,4,AP321,485,450,391,2315.7,2,7,,,152.1,2163.6,7.029950083,1,gcrl
4/2/2007,4,AP322,398,360,308,1164.4,2,6,,,91.2,1073.2,8.497950056,1,gcrl
4/3/2007,4,AP323,455,415,360,1484.1,2,7,,,70.1,1414,4.957567185,1,gcrl
4/3/2007,4,AP324,410,375,325,1047.4,2,7,,,77,970.4,7.934872218,1,gcrl
4/3/2007,4,AP325,421,379,330,1277.2,2,7,,,111.6,1165.6,9.574468085,1,gcrl
4/3/2007,4,AP326,406,367,315,1151.7,2,7,,,106.4,1045.3,10.17889601,1,gcrl
4/3/2007,4,AP327,374,339,295,878.9,2,7,,,65.7,813.2,8.07919331,1,gcrl
4/3/2007,4,AP328,366,328,281,813.8,2,7,,,70.4,743.4,9.47000269,1,gcrl
4/3/2007,4,AP329,390,351,305,1082.5,2,7,,,122.6,959.9,12.77216377,1,gcrl
4/3/2007,4,AP330,430,386,340,1265.2,2,8,,,94.5,1170.7,8.072093619,1,gcrl
4/16/2007,4,AP332,501,453,395,2078.1,2,9,,,20,2058.1,0.971770079,1,gcrl
4/16/2007,4,AP336,480,440,379,2029,2,9,,,28.3,2000.7,1.414504923,1,gcrl
4/17/2007,4,AP339,448,409,351,1639.9,2,7,,,94.1,1545.8,6.087462802,,gcrl
4/17/2007,4,AP340,543,499,438,2888.3,2,8,,,202.9,2685.4,7.555671408,,gcrl
4/17/2007,4,AP341,464,424,378,1671.2,2,8,,,39.2,1632,2.401960784,,gcrl
4/17/2007,4,AP343,499,452,406,2108.2,2,9,,,12.1,2096.1,0.577262535,,gcrl
4/17/2007,4,AP344,512,473,412,2613.7,2,8,,,202,2411.7,8.375834474,,gcrl
4/20/2007,4,AP345,561,508,448,2591.1,2,10,,,38,2553.1,1.488386667,,gcrl
4/20/2007,4,AP346,422,382,333,1253.3,2,9,,,90.9,1162.4,7.820027529,,gcrl
4/20/2007,4,AP348,467,428,379,1700.4,2,10,,,6.8,1693.6,0.401511573,,gcrl
4/20/2007,4,AP349,462,415,370,1563.8,2,9,,,81,1482.8,5.462638252,,gcrl
1/14/2004,1,AP023,391,354,300,1043.5,1,4,3,5,1.9,1041.6,0.182411674,1,gcrl
1/12/2004,1,AP015,310,283,242,554.4,1,11,1,6,0.7,553.7,0.12642225,1,gcrl
1/12/2004,1,AP016,435,395,335,1325.8,1,4,4,6,1.8,1324,0.135951662,1,gcrl
1/13/2004,1,AP019,399,360,307,1084.4,1,2,4,5,0.8,1083.6,0.073827981,1,gcrl
1/13/2004,1,AP020,469,423,367,1614.9,1,4,5,4,2.1,1612.8,0.130208333,1,gcrl
1/16/2004,1,AP024,372,339,292,942.2,1,4,4,4,2.4,939.8,0.255373484,1,gcrl
1/16/2004,1,AP026,342,326,269,730.9,1,3,4,5,1.7,729.2,0.2331322,1,gcrl
1/26/2004,1,AP028,334,304,259,674.8,1,3,1,6,0.6,674.2,0.088994364,1,gcrl
1/26/2004,1,AP030,395,355,303,1020.5,1,4,3,5,3.8,1016.7,0.373758237,1,gcrl
1/26/2004,1,AP031,372,343,290,908.4,1,4,3,5,2.3,906.1,0.253835118,1,gcrl
1/26/2004,1,AP032,451,412,355,1543.4,1,4,6,5,3,1540.4,0.194754609,1,gcrl
1/29/2004,1,AP034,415,379,326,1331.6,1,4,5,6,2.7,1328.9,0.203175559,1,gcrl
1/29/2004,1,AP035,441,400,351,1429.7,1,4,4,6,3,1426.7,0.210275461,1,gcrl
1/25/2006,1,AP217,510,455,407,2259.9,1,2,6,6,1.6,2258.3,0.070849754,1,gcrl
1/25/2006,1,AP219,452,407,355,1583.3,1,2,5,6,0.8,1582.5,0.050552923,1,gcrl
2/16/2005,2,AP148,232,211,180,215.3,1,,1,,0,215.3,,1,gcrl
2/16/2005,2,AP150,221,200,171,183.3,1,,1,,0,183.3,,1,gcrl
2/22/2005,2,AP151,284,259,220,372.4,1,3,2,,0,372.4,,1,gcrl
2/22/2005,2,AP152,385,350,303,924.2,1,2,4,,0.3,923.9,0.032471047,1,gcrl
2/28/2007,2,AP280,379,342,296,1018.8,1,2,,,0.8,1018,0.078585462,1,gcrl
2/20/2004,2,AP037,421,380,331,1231.2,1,4,3,5,5.3,1225.9,0.432335427,1,gcrl
2/14/2005,2,AP144,525,468,412,2613.4,1,9,6,,0.4,2613,0.015308075,1,gcrl
2/16/2005,2,AP149,414,375,324,1193.1,1,3,6,,0.5,1192.6,0.041925205,1,gcrl
2/14/2006,2,AP221,350,319,275,818,1,3,,,1,817,0.122399021,1,gcrl
2/8/2007,2,AP274,454,403,357,1660,1,2,,,0.9,1659.1,0.054246278,1,gcrl
2/28/2007,2,AP281,443,409,355,1582.5,1,2,,,1.3,1581.2,0.082216038,1,gcrl
2/28/2007,2,AP282,495,450,385,2236.4,1,8,,,1.5,2234.9,0.067117097,1,gcrl
2/22/2007,2,AP278,391,347,300,1010.7,1,4,,,0.5,1010.2,0.049495149,1,gcrl
2/14/2005,2,AP145,555,509,446,2983.8,1,9,11,,1.3,2982.5,0.043587594,,gcrl
2/22/2007,2,AP277,482,439,375,1847.6,1,3,,,0.5,1847.1,0.02706946,,gcrl
3/11/2004,3,AP049,340,307,261,723.4,1,4,3,5,0.3,723.1,0.041488038,1,gcrl
3/29/2004,3,AP062,239,218,182,235.3,1,1,2,6,0,235.3,,1,gcrl
3/7/2007,3,AP289,411,371,324,1251.4,1,4,,,4.1,1247.3,0.328710014,1,gcrl
3/11/2004,3,AP044,446,407,351,1736,1,4,4,6,43.7,1692.3,2.582284465,1,gcrl
3/11/2004,3,AP045,293,265,222,479,1,3,1,6,0.8,478.2,0.167294019,1,gcrl
3/11/2004,3,AP047,420,381,324,1397.1,1,7,4,6,35.6,1361.5,2.614763129,1,gcrl
3/16/2004,3,AP053,430,388,335,1383.8,1,6,4,6,25,1358.8,1.839858699,1,gcrl
3/16/2004,3,AP056,382,344,299,981.2,1,6,3,5,15,966.2,1.552473608,1,gcrl
3/18/2004,3,AP060,294,268,222,471.9,1,5,1,6,0.5,471.4,0.106067034,1,gcrl
3/29/2004,3,AP064,425,386,338,1101.1,1,5,4,6,4.2,1096.9,0.382897256,1,gcrl
3/29/2004,3,AP073,345,308,265,656.7,1,6,2,6,2.5,654.2,0.382146133,1,gcrl
3/29/2004,3,AP074,478,432,376,1903.1,1,7,3,5,12.4,1890.7,0.655841752,1,gcrl
3/29/2004,3,AP077,402,361,308,973.1,1,7,4,5,3.6,969.5,0.371325425,1,gcrl
3/27/2006,3,AP224,433,387,347,1557.6,1,6,5,6,176.7,1380.9,12.79600261,1,gcrl
3/27/2006,3,AP227,342,305,277,668.5,1,7,3,6,1.5,667,0.224887556,1,gcrl
3/29/2006,3,AP233,365,327,284,884.1,1,6,4,6,1.2,882.9,0.135915732,1,gcrl
3/29/2006,3,AP244,522,475,414,2538.1,1,7,6,6,1.9,2536.2,0.074915228,1,gcrl
3/7/2007,3,AP290,495,451,393,2423,1,4,,,7.2,2415.8,0.298037917,1,gcrl
3/26/2007,3,AP296,325,294,254,603.5,1,3,,,0.9,602.6,0.149352805,1,gcrl
3/26/2007,3,AP305,446,406,353,1818.7,1,7,,,3.9,1814.8,0.214899713,1,gcrl
3/29/2007,3,AP309,286,258,224,460.2,1,2,,,0.8,459.4,0.174140183,1,gcrl
3/29/2007,3,AP313,448,411,355,1851,1,6,,,5.2,1845.8,0.281720663,1,gcrl
3/11/2004,3,AP046,370,331,288,1031.1,1,8,2,6,20.3,1010.8,2.008310249,1,gcrl
3/15/2004,3,AP051,405,366,318,1044.8,1,8,4,6,17,1027.8,1.654018291,1,gcrl
3/18/2004,3,AP058,351,319,270,772.5,1,8,2,6,4.2,768.3,0.54666146,1,gcrl
3/18/2004,3,AP059,318,289,246,623.2,1,8,1,6,0.6,622.6,0.096370061,1,gcrl
3/29/2004,3,AP063,449,408,349,1630.7,1,8,3,5,2.9,1627.8,0.178154564,1,gcrl
3/29/2004,3,AP065,360,321,278,762.1,1,8,4,6,1.5,760.6,0.197212727,1,gcrl
3/29/2004,3,AP071,356,321,281,758.4,1,8,4,6,3.6,754.8,0.476947536,1,gcrl
3/29/2004,3,AP072,375,337,288,874.3,1,8,5,6,7.3,867,0.841983852,1,gcrl
3/23/2006,3,AP222,380,347,301,1064.2,1,8,2,6,0.5,1063.7,0.047005735,1,gcrl
3/27/2006,3,AP226,371,334,302,903.6,1,8,5,6,3.6,900,0.4,1,gcrl
3/27/2006,3,AP228,325,295,261,600.5,1,8,3,6,3.4,597.1,0.569418858,1,gcrl
3/27/2006,3,AP229,445,396,360,1450.9,1,8,6,6,8.3,1442.6,0.575350062,1,gcrl
3/29/2006,3,AP235,480,438,390,1938.9,1,8,6,6,2.3,1936.6,0.118764846,1,gcrl
3/29/2006,3,AP239,495,442,381,2087.3,1,8,8,6,1.1,2086.2,0.052727447,1,gcrl
3/29/2006,3,AP240,487,440,387,1750,1,8,9,6,2.1,1747.9,0.120144173,1,gcrl
3/29/2006,3,AP243,485,456,381,1814.3,1,8,6,6,0.5,1813.8,0.027566435,1,gcrl
3/7/2007,3,AP285,552,496,435,3422.8,1,8,,,12.6,3410.2,0.369479796,1,gcrl
3/7/2007,3,AP291,563,506,448,3680,1,8,,,5.1,3674.9,0.138779287,1,gcrl
3/26/2007,3,AP306,469,428,375,1694.1,1,8,,,1.5,1692.6,0.088621056,1,gcrl
3/26/2007,3,AP307,404,364,313,1235.3,1,8,,,1.1,1234.2,0.08912656,1,gcrl
3/29/2007,3,AP315,206,190,161,174.8,2,1,,,0.2,174.6,0.114547537,,gcrl
3/24/2005,3,AP154,355,320,274,705.1,1,3,2,,0.1,705,0.014184397,,gcrl
4/19/2004,4,AP080,409,371,315,1305.1,1,4,3,5,2.1,1303,0.161166539,1,gcrl
4/19/2004,4,AP081,334,300,252,639.9,1,4,1,5,0.5,639.4,0.078198311,1,gcrl
4/21/2005,4,AP162,560,509,455,2746.4,1,7,5,,0.9,2745.5,0.032780914,1,gcrl
