year,mo,dy,num,spec,set,area,mesh,fl,tl,wgt,sex,gonad,rings,mc,
2003,4,7,1,shd,,,0,363,400,1.04,M,,3,4,
2003,4,7,2,shd,,,0,360,400,1.02,M,,3,4,
2003,4,8,1,shd,,,0,400,441,1.34,M,,3,4,
2003,4,8,2,shd,,,0,280,308,0.53,F,41.3,2,4,
2003,4,10,1,shd,,,0,258,280,0.39,M,,1,4,
2003,4,10,2,shd,,,0,308,339,0.79,F,100.4,2,4,
2003,4,10,3,shd,,,0,317,360,0.84,F,56,3,4,
2003,6,16,1,shd,pp,3A,2,334,,0.88,F,1.9,5,2,
2003,6,19,1,shd,,,0,335,370,0.85,F,4,4,1,
2003,7,16,1,shd,pp,1D,3,169,,0.12,U,,1,2,
2003,8,18,1,shd,tl,1C,0,206,,0.24,U,,1,2,
2003,8,18,2,shd,tl,1B,0,432,,2.11,F,9.9,4,2,
2003,8,27,1,shd,pl,2D,6,385,,1.07,F,,3,2,
2003,8,27,2,shd,pl,2D,6,437,,1.88,F,,4,3,
2003,9,16,1,shd,pl,1C,4,190,210,0.19,U,,1,3,
2003,9,25,1,shd,tl,,0,242,268,0.37,U,,1,3,
2003,10,6,1,shd,tl,3C,0,398,,1.61,F,6.5,4,2,
2003,10,6,2,shd,tl,3C,0,399,,1.57,F,3.4,4,3,
2003,10,6,3,shd,tl,3C,0,370,,1.18,F,6.5,3,3,
2003,10,16,1,shd,rh,3A,4,335,,0.67,M,,4,3,
2003,10,17,1,shd,tl,2E,0,342,381,0.89,F,6,3,3,
2003,10,20,1,shd,ct,1E,0,212,,0.24,U,,1,3,
2003,10,20,2,shd,ct,1E,0,223,,0.28,U,,1,3,
2003,10,20,3,shd,ct,1E,0,212,,0.23,U,,1,3,
2003,10,20,4,shd,ct,1E,0,254,,0.4,F,,1,3,
2003,10,20,5,shd,ct,1E,0,254,,0.41,F,,1,3,
2003,10,22,1,shd,pl,3D,3.5,323,361,0.79,M,,3,3,
2003,10,22,2,shd,pl,3D,3.5,323,359,0.81,F,4.7,3,3,
2003,10,30,1,shd,tl,1B,0,269,,0.46,F,1.1,1,3,
2003,11,6,1,shd,tl,2E,0,324,,0.79,F,5.2,2,3,
2003,11,6,2,shd,tl,2E,0,340,,0.96,M,,4,3,
2003,11,10,1,shd,,2B,4.5,392,,1.46,F,12.3,4,3,
2003,11,12,1,shd,tl,3C,0,412,,1.57,F,12.9,4,4,
2003,11,12,2,shd,tl,3C,0,347,,0.96,M,,3,4,
2003,11,13,1,shd,pp,1D,6,465,,2.59,F,14.9,4,4,
2003,12,1,1,shd,tl,3C,0,117,,0.04,U,,0,4,
2003,12,1,2,shd,tl,3C,0,410,,1.64,M,,3,4,
2004,2,5,1,shd,pp,3D,6,363,,1.24,M,,4,4,
2004,2,5,2,shd,pp,3D,6,439,,1.97,M,,4,4,
2004,2,5,3,shd,pp,3D,5.5,305,,0.73,F,7.3,3,1,
2004,2,5,4,shd,pp,3D,4.5,297,,0.7,F,3.3,2,4,
2004,2,18,1,shd,pl,1B,5,229,,0.31,U,,1,4,
2004,2,18,2,shd,pl,1B,6,250,,0.42,U,,1,4,
2004,2,27,1,shd,pl,3C,4.5,239,259,0.32,U,,1,4,
2004,2,27,2,shd,pl,3C,5,240,,0.33,U,,1,4,
2004,2,27,3,shd,pl,3C,5,304,334,0.67,U,,1,4,
2004,2,27,4,shd,pl,3C,5,359,395,1.15,M,,4,4,
2004,2,27,5,shd,pl,3C,5,269,296,0.46,M,,1,4,
2004,2,27,6,shd,pl,3C,5,269,299,0.47,M,,1,4,
2004,2,27,7,shd,pl,3C,5,260,290,0.44,F,1.9,1,4,
2004,2,27,9,shd,pl,3C,5.5,416,460,1.73,M,,4,4,
2004,2,27,8,shd,pl,3C,5,275,299,0.5,F,2.3,1,4,
2004,2,27,10,shd,pl,3C,5.5,357,394,1.05,M,,2,4,
2004,2,27,11,shd,pl,3C,5.5,337,371,0.96,F,9.9,4,4,
2004,2,27,12,shd,pl,3C,5.5,315,350,0.72,F,5.8,1,4,
2004,2,27,13,shd,pl,3C,5.5,308,340,0.68,M,,3,4,
2004,2,27,14,shd,pl,3C,5.5,290,320,0.58,M,,1,4,
2004,2,27,15,shd,pl,3C,5.5,342,375,0.98,M,,2,4,
2004,2,27,16,shd,pl,3C,6,409,447,1.63,M,,3,4,
2004,2,27,17,shd,pl,3C,6,360,398,1.15,M,,3,4,
2004,2,27,18,shd,pl,3C,6,283,312,0.53,M,,1,4,
2004,2,27,19,shd,pl,3C,6,351,388,1.1,M,,4,1,
2004,3,3,1,shd,pp,1B,6,253,282,0.4,F,0.7,2,1,
2004,3,3,2,shd,pp,1B,6,258,282,0.41,M,,1,4,
2004,3,3,3,shd,pp,1B,6,292,325,0.66,F,2.6,1,4,
2004,3,3,4,shd,hl,1C,0,385,428,1.38,F,31.9,3,4,
2004,3,3,5,shd,hl,1C,0,373,412,1.37,F,18,3,4,
2004,3,8,1,shd,hl,3D,0,375,409,1.15,M,,3,4,
2004,3,9,1,shd,pp,2B,5.5,478,520,2.9,F,228.8,4,4,
2004,3,12,1,shd,pl,2C,6,515,560,3.85,F,369.2,5,1,
2004,3,29,1,shd,hl,2E,0,359,398,1.24,F,118.9,5,1,
2004,3,29,2,shd,hl,2E,0,409,453,1.5,M,,4,4,
2004,3,29,3,shd,hl,2E,0,350,388,1.12,M,,4,4,
2004,3,29,4,shd,hl,2E,0,275,305,0.52,M,,1,4,
2004,3,29,5,shd,hl,2E,0,395,430,1.57,F,146.2,3,4,
2004,3,29,6,shd,hl,2E,0,325,362,0.94,F,137.6,4,4,
2004,3,29,7,shd,hl,2E,0,290,320,0.65,F,39.7,1,4,
2004,3,29,8,shd,hl,2E,0,340,372,0.93,M,,2,4,
2004,3,29,9,shd,hl,2E,0,364,405,1.2,M,,5,4,
2004,3,29,10,shd,hl,2B,0,320,357,0.81,M,,3,4,
2004,3,29,11,shd,hl,2B,0,310,340,0.68,M,,3,4,
2004,3,29,12,shd,hl,2B,0,283,310,0.58,F,4.1,2,4,
2004,3,29,13,shd,hl,2B,0,338,375,0.93,F,8.2,3,4,
2004,3,29,14,shd,hl,2B,0,319,351,0.8,F,35,3,4,
2004,3,29,15,shd,hl,2B,0,237,261,0.33,F,1.2,1,4,
2004,4,8,1,shd,pl,1B,4,266,295,0.49,F,2.8,2,1,
2004,4,19,1,shd,ct,3C,0,233,248,0.27,U,,2,1,
2004,4,19,2,shd,pl,3C,4.5,257,284,0.41,M,,2,1,
