,parameter,state_no,sex,mean,X50.,X2.5.,X97.5.,n_eff,Rhat,,,
t0_re[1],t0_re[1],VA Ocean,NA,-0.202,-0.194,-1.159,0.701,4000,1,,,
t0_re[2],t0_re[2],VA Bay,NA,0.187,0.165,-0.6,1.103,2154,1,,,
t0_re[3],t0_re[3],NC,NA,-0.368,-0.346,-1.219,0.39,3319,1,,,
t0_re[4],t0_re[4],SC,NA,0.493,0.477,0.037,1.03,2625,1,,,
t0_re[6],t0_re[6],FL Atlantic,NA,-0.568,-0.565,-1.304,0.149,1528,1,,,
t0_re[7],t0_re[7],FL Gulf,NA,0.243,0.238,-0.491,1.014,1464,1,,,
t0_re[8],t0_re[8],AL,NA,-0.347,-0.332,-0.997,0.274,2195,1,,,
t0_re[9],t0_re[9],MS,NA,0.449,0.435,-0.084,1.055,2098,1,,,
t0_re[10],t0_re[10],LA,NA,0.257,0.25,-0.377,0.944,2276,1,,,
t0_re[11],t0_re[11],TX,NA,-0.112,-0.095,-1.259,0.969,4000,1,,,
Betas_log_linf[1],Betas_log_linf[1],NA,NA,6.049,6.048,6.011,6.09,1623,1,,,
Betas_log_linf[2],Betas_log_linf[2],NA,NA,-0.014,-0.014,-0.027,0,2361,1,,,
Betas_log_linf[3],Betas_log_linf[3],NA,NA,0.027,0.027,0.019,0.033,1928,1,,,
Betas_log_k[1],Betas_log_k[1],NA,NA,-1.115,-1.118,-1.433,-0.782,1037,1,,,
Betas_log_k[2],Betas_log_k[2],NA,NA,-0.011,-0.011,-0.069,0.045,1905,1,,,
Betas_log_k[3],Betas_log_k[3],NA,NA,-0.031,-0.031,-0.089,0.03,1101,1,,,
Betas_t0[1],Betas_t0[1],NA,NA,-1.176,-1.173,-1.97,-0.436,1473,1,,,
Betas_t0[2],Betas_t0[2],NA,NA,-0.122,-0.122,-0.256,0.007,2053,1,,,
Betas_t0[3],Betas_t0[3],NA,NA,-0.012,-0.009,-0.148,0.109,1555,1,,,
sigma_linf,sigma_linf,NA,NA,0.032,0.029,0.013,0.072,1436,1,,,
sigma_k,sigma_k,NA,NA,0.308,0.284,0.164,0.576,1418,1,,,
sigma_t0,sigma_t0,NA,NA,0.583,0.528,0.278,1.226,1596,1,,,
sigma,sigma,NA,NA,0.133,0.133,0.132,0.135,4000,1,,,
log_linf_re[1]2,"L_(?_(r,s) )",VA Ocean,f,556,556,538,576,NA,NA,,,
log_linf_re[2]2,"L_(?_(r,s) )",VA Bay,f,561,561,548,573,NA,NA,,,
log_linf_re[3]2,"L_(?_(r,s) )",NC,f,519,522,471,555,NA,NA,,,
log_linf_re[4]2,"L_(?_(r,s) )",SC,f,509,509,500,518,NA,NA,,,
log_linf_re[6]2,"L_(?_(r,s) )",FL Atlantic,f,435,435,422,450,NA,NA,,,
log_linf_re[7]2,"L_(?_(r,s) )",FL Gulf,f,418,418,413,424,NA,NA,,,
log_linf_re[8]2,"L_(?_(r,s) )",AL,f,473,473,457,493,NA,NA,,,
log_linf_re[9]2,"L_(?_(r,s) )",MS,f,448,448,431,466,NA,NA,,,
log_linf_re[10]2,"L_(?_(r,s) )",LA,f,442,442,433,453,NA,NA,,,
log_linf_re[11]2,"L_(?_(r,s) )",TX,f,433,433,417,450,NA,NA,,,
log_linf_re[1]1,"L_(?_(r,s) )",VA Ocean,m,549,548,531,568,NA,NA,,,
log_linf_re[2]1,"L_(?_(r,s) )",VA Bay,m,553,553,540,566,NA,NA,,,
log_linf_re[3]1,"L_(?_(r,s) )",NC,m,512,514,464,547,NA,NA,,,
log_linf_re[4]1,"L_(?_(r,s) )",SC,m,502,502,494,510,NA,NA,,,
log_linf_re[6]1,"L_(?_(r,s) )",FL Atlantic,m,429,429,416,444,NA,NA,,,
log_linf_re[7]1,"L_(?_(r,s) )",FL Gulf,m,412,412,407,419,NA,NA,,,
log_linf_re[8]1,"L_(?_(r,s) )",AL,m,467,466,451,486,NA,NA,,,
log_linf_re[9]1,"L_(?_(r,s) )",MS,m,442,442,424,460,NA,NA,,,
log_linf_re[10]1,"L_(?_(r,s) )",LA,m,436,436,427,446,NA,NA,,,
log_linf_re[11]1,"L_(?_(r,s) )",TX,m,427,427,411,445,NA,NA,,,
log_k_re[1]2,"k_(r,s)",VA Ocean,f,0.244,0.242,0.194,0.299,NA,NA,,,
log_k_re[2]2,"k_(r,s)",VA Bay,f,0.236,0.235,0.211,0.263,NA,NA,,,
log_k_re[3]2,"k_(r,s)",NC,f,0.215,0.213,0.169,0.278,NA,NA,,,
log_k_re[4]2,"k_(r,s)",SC,f,0.276,0.276,0.257,0.296,NA,NA,,,
log_k_re[6]2,"k_(r,s)",FL Atlantic,f,0.201,0.201,0.18,0.222,NA,NA,,,
log_k_re[7]2,"k_(r,s)",FL Gulf,f,0.295,0.295,0.28,0.309,NA,NA,,,
log_k_re[8]2,"k_(r,s)",AL,f,0.303,0.303,0.245,0.363,NA,NA,,,
log_k_re[9]2,"k_(r,s)",MS,f,0.37,0.367,0.308,0.446,NA,NA,,,
log_k_re[10]2,"k_(r,s)",LA,f,0.406,0.404,0.341,0.478,NA,NA,,,
log_k_re[11]2,"k_(r,s)",TX,f,0.423,0.414,0.31,0.588,NA,NA,,,
log_k_re[1]1,"k_(r,s)",VA Ocean,m,0.241,0.24,0.192,0.296,NA,NA,,,
log_k_re[2]1,"k_(r,s)",VA Bay,m,0.233,0.233,0.208,0.261,NA,NA,,,
log_k_re[3]1,"k_(r,s)",NC,m,0.213,0.21,0.167,0.276,NA,NA,,,
log_k_re[4]1,"k_(r,s)",SC,m,0.273,0.273,0.256,0.29,NA,NA,,,
log_k_re[6]1,"k_(r,s)",FL Atlantic,m,0.199,0.199,0.177,0.22,NA,NA,,,
log_k_re[7]1,"k_(r,s)",FL Gulf,m,0.291,0.291,0.275,0.309,NA,NA,,,
log_k_re[8]1,"k_(r,s)",AL,m,0.3,0.3,0.245,0.356,NA,NA,,,
log_k_re[9]1,"k_(r,s)",MS,m,0.366,0.364,0.303,0.444,NA,NA,,,
log_k_re[10]1,"k_(r,s)",LA,m,0.401,0.399,0.339,0.472,NA,NA,,,
log_k_re[11]1,"k_(r,s)",TX,m,0.418,0.41,0.307,0.584,NA,NA,,,
1,"w_(r,s)",VA Ocean,f,135,135,111,162,NA,NA,,,
2,"w_(r,s)",VA Bay,f,132,132,120,145,NA,NA,,,
3,"w_(r,s)",NC,f,111,111,92,134,NA,NA,,,
4,"w_(r,s)",SC,f,141,140,133,148,NA,NA,,,
6,"w_(r,s)",FL Atlantic,f,87,87,81,94,NA,NA,,,
7,"w_(r,s)",FL Gulf,f,123,123,118,128,NA,NA,,,
8,"w_(r,s)",AL,f,143,143,121,166,NA,NA,,,
9,"w_(r,s)",MS,f,166,165,143,193,NA,NA,,,
10,"w_(r,s)",LA,f,179,179,154,208,NA,NA,,,
11,"w_(r,s)",TX,f,183,179,138,249,NA,NA,,,
12,"w_(r,s)",VA Ocean,m,132,131,108,158,NA,NA,,,
21,"w_(r,s)",VA Bay,m,129,129,117,142,NA,NA,,,
31,"w_(r,s)",NC,m,108,108,90,131,NA,NA,,,
41,"w_(r,s)",SC,m,137,137,130,144,NA,NA,,,
61,"w_(r,s)",FL Atlantic,m,85,85,78,92,NA,NA,,,
71,"w_(r,s)",FL Gulf,m,120,120,115,126,NA,NA,,,
81,"w_(r,s)",AL,m,140,140,119,161,NA,NA,,,
91,"w_(r,s)",MS,m,162,161,139,190,NA,NA,,,
101,"w_(r,s)",LA,m,175,174,151,202,NA,NA,,,
111,"w_(r,s)",TX,m,178,175,134,243,NA,NA,,,
