,parameter,state_no,sex,mean,X50.,X2.5.,X97.5.,n_eff,Rhat,,,
log_linf_re[1],log_linf_re[1],VA Ocean,NA,-0.001,-0.002,-0.049,0.049,2781,1,,,VA Ocean
log_linf_re[2],log_linf_re[2],VA Bay,NA,0.003,0.001,-0.042,0.058,2612,1,,,VA Bay
log_linf_re[3],log_linf_re[3],NC,NA,-0.018,-0.014,-0.1,0.043,3064,1,,,NC
log_linf_re[4],log_linf_re[4],SC,NA,0.032,0.031,0.002,0.067,2800,1,,,SC
log_linf_re[6],log_linf_re[6],FL Atlantic,NA,0.017,0.017,-0.023,0.062,2228,1,,,FL Atlantic
log_linf_re[7],log_linf_re[7],FL Gulf,NA,-0.013,-0.012,-0.053,0.024,1664,1,,,FL Gulf
log_linf_re[8],log_linf_re[8],AL,NA,0.026,0.024,-0.011,0.074,2492,1,,,AL
log_linf_re[9],log_linf_re[9],MS,NA,-0.026,-0.025,-0.074,0.014,2187,1,,,MS
log_linf_re[10],log_linf_re[10],LA,NA,-0.02,-0.019,-0.054,0.012,2105,1,,,LA
log_linf_re[11],log_linf_re[11],TX,NA,-0.003,-0.003,-0.046,0.041,2763,1,,,TX
log_k_re[1],log_k_re[1],VA Ocean,NA,0.009,0.018,-0.423,0.411,1615,1,,,
log_k_re[2],log_k_re[2],VA Bay,NA,-0.014,-0.01,-0.436,0.388,1465,1,,,
log_k_re[3],log_k_re[3],NC,NA,-0.177,-0.173,-0.534,0.176,1895,1,,,
log_k_re[4],log_k_re[4],SC,NA,0.001,0.002,-0.236,0.237,1704,1,,,
log_k_re[6],log_k_re[6],FL Atlantic,NA,-0.48,-0.475,-0.814,-0.174,1122,1,,,
log_k_re[7],log_k_re[7],FL Gulf,NA,-0.107,-0.105,-0.449,0.222,1032,1,,,
log_k_re[8],log_k_re[8],AL,NA,0.014,0.015,-0.264,0.283,1496,1,,,
log_k_re[9],log_k_re[9],MS,NA,0.212,0.209,-0.056,0.502,1527,1,,,
log_k_re[10],log_k_re[10],LA,NA,0.281,0.279,0.009,0.568,1469,1,,,
log_k_re[11],log_k_re[11],TX,NA,0.269,0.263,-0.105,0.678,1413,1,,,
