"","parameter","state_no","sex","mean","X50.","X2.5.","X97.5.","n_eff","Rhat","order"
"log_linf_re[1]","log_linf_re[1]","NA","NA",-0.002,-0.003,-0.05,0.05,6467,0.999873152771358,"1"
"log_linf_re[2]","log_linf_re[2]","NA","NA",0.002,0.001,-0.044,0.057,6004,0.999955935296232,"2"
"log_linf_re[3]","log_linf_re[3]","NA","NA",-0.018,-0.014,-0.101,0.043,8000,0.999933479862706,"3"
"log_linf_re[4]","log_linf_re[4]","NA","NA",0.032,0.031,0.003,0.065,6173,0.999786514663533,"4"
"log_linf_re[6]","log_linf_re[6]","NA","NA",0.018,0.017,-0.022,0.065,4691,1.00042700572766,"5"
"log_linf_re[7]","log_linf_re[7]","NA","NA",-0.012,-0.011,-0.051,0.027,4056,1.00076676979731,"6"
"log_linf_re[8]","log_linf_re[8]","NA","NA",0.027,0.025,-0.011,0.075,5188,1.00020431019355,"7"
"log_linf_re[9]","log_linf_re[9]","NA","NA",-0.026,-0.025,-0.072,0.012,5807,0.999815309187797,"8"
"log_linf_re[10]","log_linf_re[10]","NA","NA",-0.019,-0.019,-0.054,0.014,4893,0.999922521534031,"9"
"log_linf_re[11]","log_linf_re[11]","NA","NA",-0.002,-0.002,-0.047,0.042,8000,0.999912227535363,"10"
"log_k_re[1]","log_k_re[1]","NA","NA",0.007,0.005,-0.391,0.416,4094,0.999908325668096,"11"
"log_k_re[2]","log_k_re[2]","NA","NA",-0.017,-0.018,-0.405,0.395,3518,0.999996419021698,"12"
"log_k_re[3]","log_k_re[3]","NA","NA",-0.178,-0.178,-0.533,0.174,4537,1.00012716063738,"13"
"log_k_re[4]","log_k_re[4]","NA","NA",-0.001,0,-0.248,0.233,3377,1.00003290177654,"14"
"log_k_re[6]","log_k_re[6]","NA","NA",-0.484,-0.477,-0.843,-0.172,2716,1.00066446984247,"15"
"log_k_re[7]","log_k_re[7]","NA","NA",-0.112,-0.107,-0.462,0.212,2659,1.00060640784106,"16"
"log_k_re[8]","log_k_re[8]","NA","NA",0.011,0.014,-0.287,0.284,3435,0.999873153309818,"17"
"log_k_re[9]","log_k_re[9]","NA","NA",0.212,0.21,-0.062,0.5,3553,1.00021993516225,"18"
"log_k_re[10]","log_k_re[10]","NA","NA",0.278,0.279,-0.007,0.56,3225,1.00051719925035,"19"
"log_k_re[11]","log_k_re[11]","NA","NA",0.264,0.258,-0.112,0.661,4685,0.999900060575944,"20"
"t0_re[1]","t0_re[1]","NA","NA",-0.209,-0.197,-1.212,0.706,8000,1.00019629605537,"21"
"t0_re[2]","t0_re[2]","NA","NA",0.18,0.159,-0.615,1.069,5297,1.00002616251964,"22"
"t0_re[3]","t0_re[3]","NA","NA",-0.37,-0.344,-1.239,0.366,8000,0.999936532140439,"23"
"t0_re[4]","t0_re[4]","NA","NA",0.493,0.48,0.043,1.014,6000,1.00027758183793,"24"
"t0_re[6]","t0_re[6]","NA","NA",-0.566,-0.564,-1.239,0.096,2762,1.00018426190272,"25"
"t0_re[7]","t0_re[7]","NA","NA",0.248,0.238,-0.412,0.941,2638,1.00015668665174,"26"
"t0_re[8]","t0_re[8]","NA","NA",-0.347,-0.331,-1.011,0.242,4314,1.00000754684498,"27"
