"","parameter","state_no","sex","mean","X50.","X2.5.","X97.5.","n_eff","Rhat","order"
"t0_re[9]","t0_re[9]","NA","NA",0.456,0.443,-0.061,1.059,3698,1.00020752951428,"28"
"t0_re[10]","t0_re[10]","NA","NA",0.261,0.252,-0.337,0.918,4292,1.00022788650537,"29"
"t0_re[11]","t0_re[11]","NA","NA",-0.121,-0.093,-1.315,0.926,8000,0.999891738225336,"30"
"Betas_log_linf[1]","Betas_log_linf[1]","NA","NA",6.048,6.048,6.01,6.087,3937,1.00057818232252,"31"
"Betas_log_linf[2]","Betas_log_linf[2]","NA","NA",-0.014,-0.014,-0.028,0,6737,0.999997099974865,"32"
"Betas_log_linf[3]","Betas_log_linf[3]","NA","NA",0.027,0.027,0.02,0.034,4688,1.00018715517525,"33"
"Betas_log_k[1]","Betas_log_k[1]","NA","NA",-1.111,-1.116,-1.436,-0.761,2647,1.00062561798978,"34"
"Betas_log_k[2]","Betas_log_k[2]","NA","NA",-0.011,-0.011,-0.066,0.046,6189,1.00013168165609,"35"
"Betas_log_k[3]","Betas_log_k[3]","NA","NA",-0.031,-0.03,-0.091,0.024,2985,1.00014916804797,"36"
"Betas_t0[1]","Betas_t0[1]","NA","NA",-1.181,-1.173,-1.88,-0.521,2567,1.00014834113521,"37"
"Betas_t0[2]","Betas_t0[2]","NA","NA",-0.12,-0.12,-0.251,0.012,6502,1.0001199291029,"38"
"Betas_t0[3]","Betas_t0[3]","NA","NA",-0.011,-0.009,-0.136,0.106,3104,1.00009863946716,"39"
"sigma_linf","sigma_linf","NA","NA",0.032,0.029,0.013,0.069,3086,1.00041774734243,"40"
"sigma_k","sigma_k","NA","NA",0.308,0.286,0.167,0.569,2954,1.00001276907782,"41"
"sigma_t0","sigma_t0","NA","NA",0.576,0.525,0.275,1.162,3038,1.0002115853502,"42"
"sigma","sigma","NA","NA",0.133,0.133,0.132,0.135,8000,0.999837728591685,"43"
"log_linf_re[1]2","log_linf_re[1]","1","f",556.303,556.059,538.208,576.048,6467,0.999873152771358,"44"
"log_linf_re[1]1","log_linf_re[1]","1","m",548.531,548.285,530.425,568.31,6467,0.999873152771358,"45"
"log_linf_re[2]2","log_linf_re[2]","2","f",560.556,560.432,548.691,573.446,6004,0.999955935296232,"46"
"log_linf_re[2]1","log_linf_re[2]","2","m",552.724,552.643,540.463,565.86,6004,0.999955935296232,"47"
"log_linf_re[3]2","log_linf_re[3]","3","f",519.089,521.181,473.337,554.789,8000,0.999933479862706,"48"
"log_linf_re[3]1","log_linf_re[3]","3","m",511.843,513.88,466.867,547.274,8000,0.999933479862706,"49"
"log_linf_re[4]2","log_linf_re[4]","4","f",509.051,509.024,500.347,518.04,6173,0.999786514663533,"50"
"log_linf_re[4]1","log_linf_re[4]","4","m",501.933,501.893,494.141,509.96,6173,0.999786514663533,"51"
"log_linf_re[6]2","log_linf_re[6]","6","f",435.345,435.158,421.991,450.61,4691,1.00042700572766,"52"
"log_linf_re[6]1","log_linf_re[6]","6","m",429.265,428.963,415.679,445.026,4691,1.00042700572766,"53"
"log_linf_re[7]2","log_linf_re[7]","7","f",418.34,418.314,413.09,423.777,4056,1.00076676979731,"54"
"log_linf_re[7]1","log_linf_re[7]","7","m",412.496,412.456,406.384,418.727,4056,1.00076676979731,"55"
"log_linf_re[8]2","log_linf_re[8]","8","f",473.405,472.526,456.912,494.19,5188,1.00020431019355,"56"
"log_linf_re[8]1","log_linf_re[8]","8","m",466.786,465.9,451.071,487.356,5188,1.00020431019355,"57"
"log_linf_re[9]2","log_linf_re[9]","9","f",448.042,447.999,430.631,465.225,5807,0.999815309187797,"58"
"log_linf_re[9]1","log_linf_re[9]","9","m",441.786,441.663,424.263,459.57,5807,0.999815309187797,"59"
"log_linf_re[10]2","log_linf_re[10]","10","f",442.439,442.276,432.836,452.688,4893,0.999922521534031,"60"
"log_linf_re[10]1","log_linf_re[10]","10","m",436.255,436.111,426.655,446.398,4893,0.999922521534031,"61"
"log_linf_re[11]2","log_linf_re[11]","11","f",432.894,432.61,416.93,450.435,8000,0.999912227535363,"62"
"log_linf_re[11]1","log_linf_re[11]","11","m",426.845,426.615,411.058,444.162,8000,0.999912227535363,"63"
"log_k_re[1]2","log_k_re[1]","1","f",0.243,0.242,0.194,0.298,4094,0.999908325668096,"64"
"log_k_re[1]1","log_k_re[1]","1","m",0.241,0.24,0.192,0.297,4094,0.999908325668096,"65"
"log_k_re[2]2","log_k_re[2]","2","f",0.236,0.235,0.211,0.263,3518,0.999996419021698,"66"
"log_k_re[2]1","log_k_re[2]","2","m",0.233,0.233,0.208,0.261,3518,0.999996419021698,"67"
"log_k_re[3]2","log_k_re[3]","3","f",0.215,0.212,0.17,0.278,4537,1.00012716063738,"68"
"log_k_re[3]1","log_k_re[3]","3","m",0.213,0.21,0.168,0.276,4537,1.00012716063738,"69"
"log_k_re[4]2","log_k_re[4]","4","f",0.276,0.276,0.258,0.295,3377,1.00003290177654,"70"
"log_k_re[4]1","log_k_re[4]","4","m",0.273,0.273,0.256,0.29,3377,1.00003290177654,"71"
"log_k_re[6]2","log_k_re[6]","6","f",0.201,0.201,0.18,0.222,2716,1.00066446984247,"72"
"log_k_re[6]1","log_k_re[6]","6","m",0.199,0.199,0.177,0.221,2716,1.00066446984247,"73"
"log_k_re[7]2","log_k_re[7]","7","f",0.294,0.294,0.28,0.31,2659,1.00060640784106,"74"
"log_k_re[7]1","log_k_re[7]","7","m",0.291,0.291,0.274,0.309,2659,1.00060640784106,"75"
"log_k_re[8]2","log_k_re[8]","8","f",0.303,0.303,0.245,0.363,3435,0.999873153309818,"76"
"log_k_re[8]1","log_k_re[8]","8","m",0.3,0.3,0.243,0.358,3435,0.999873153309818,"77"
"log_k_re[9]2","log_k_re[9]","9","f",0.371,0.369,0.309,0.446,3553,1.00021993516225,"78"
"log_k_re[9]1","log_k_re[9]","9","m",0.368,0.365,0.304,0.444,3553,1.00021993516225,"79"
"log_k_re[10]2","log_k_re[10]","10","f",0.406,0.403,0.342,0.478,3225,1.00051719925035,"80"
"log_k_re[10]1","log_k_re[10]","10","m",0.401,0.399,0.34,0.472,3225,1.00051719925035,"81"
"log_k_re[11]2","log_k_re[11]","11","f",0.422,0.415,0.306,0.584,4685,0.999900060575944,"82"
"log_k_re[11]1","log_k_re[11]","11","m",0.418,0.411,0.302,0.575,4685,0.999900060575944,"83"
"t0_re[1]2","t0_re[1]","1","f",-1.498,-1.457,-2.472,-0.736,8000,1.00019629605537,"84"
"t0_re[1]1","t0_re[1]","1","m",-1.618,-1.582,-2.585,-0.843,8000,1.00019629605537,"85"
"t0_re[2]2","t0_re[2]","2","f",-1.11,-1.103,-1.422,-0.826,5297,1.00002616251964,"86"
"t0_re[2]1","t0_re[2]","2","m",-1.231,-1.228,-1.542,-0.943,5297,1.00002616251964,"87"
"t0_re[3]2","t0_re[3]","3","f",-1.638,-1.605,-2.453,-0.994,8000,0.999936532140439,"88"
"t0_re[3]1","t0_re[3]","3","m",-1.759,-1.728,-2.591,-1.106,8000,0.999936532140439,"89"
"t0_re[4]2","t0_re[4]","4","f",-0.748,-0.746,-0.902,-0.603,6000,1.00027758183793,"90"
"t0_re[4]1","t0_re[4]","4","m",-0.868,-0.868,-1.014,-0.725,6000,1.00027758183793,"91"
"t0_re[6]2","t0_re[6]","6","f",-1.751,-1.748,-2.015,-1.511,2762,1.00018426190272,"92"
"t0_re[6]1","t0_re[6]","6","m",-1.872,-1.866,-2.147,-1.627,2762,1.00018426190272,"93"
"t0_re[7]2","t0_re[7]","7","f",-0.933,-0.932,-1.047,-0.827,2638,1.00015668665174,"94"
"t0_re[7]1","t0_re[7]","7","m",-1.054,-1.052,-1.185,-0.928,2638,1.00015668665174,"95"
"t0_re[8]2","t0_re[8]","8","f",-1.562,-1.545,-2.142,-1.073,4314,1.00000754684498,"96"
"t0_re[8]1","t0_re[8]","8","m",-1.682,-1.667,-2.256,-1.199,4314,1.00000754684498,"97"
"t0_re[9]2","t0_re[9]","9","f",-0.757,-0.749,-1.127,-0.422,3698,1.00020752951428,"98"
"t0_re[9]1","t0_re[9]","9","m",-0.878,-0.872,-1.27,-0.509,3698,1.00020752951428,"99"
"t0_re[10]2","t0_re[10]","10","f",-0.945,-0.938,-1.452,-0.486,4292,1.00022788650537,"100"
"t0_re[10]1","t0_re[10]","10","m",-1.065,-1.062,-1.559,-0.607,4292,1.00022788650537,"101"
"t0_re[11]2","t0_re[11]","11","f",-1.311,-1.288,-2.626,-0.168,8000,0.999891738225336,"102"
"t0_re[11]1","t0_re[11]","11","m",-1.432,-1.402,-2.726,-0.305,8000,0.999891738225336,"103"
"1","w[1]","1","f",135.178,134.609,110.723,162.238,NA,NA,"104"
"12","w[1]","1","m",131.892,131.28,108.192,158.95,NA,NA,"105"
"2","w[2]","2","f",131.985,131.979,120.196,144.778,NA,NA,"106"
"21","w[2]","2","m",128.771,128.606,117.084,141.525,NA,NA,"107"
"3","w[3]","3","f",111.342,110.837,92.182,133.979,NA,NA,"108"
"31","w[3]","3","m",108.638,108.039,89.881,131.246,NA,NA,"109"
"4","w[4]","4","f",140.514,140.47,133.182,148.105,NA,NA,"110"
"41","w[4]","4","m",137.082,136.999,130.314,143.961,NA,NA,"111"
"6","w[6]","6","f",87.334,87.286,80.589,94.149,NA,NA,"112"
"61","w[6]","6","m",85.212,85.206,78.313,92.147,NA,NA,"113"
"7","w[7]","7","f",123.158,123.143,118.217,128.083,NA,NA,"114"
"71","w[7]","7","m",120.164,120.153,114.642,125.773,NA,NA,"115"
"8","w[8]","8","f",143.291,143.153,120.615,166.401,NA,NA,"116"
"81","w[8]","8","m",139.775,139.701,117.943,162.18,NA,NA,"117"
"9","w[9]","9","f",166.122,165.338,143.215,193.2,NA,NA,"118"
"91","w[9]","9","m",162.117,161.286,138.922,189.606,NA,NA,"119"
"10","w[10]","10","f",179.289,178.479,154.061,207.787,NA,NA,"120"
"101","w[10]","10","m",174.905,174.057,151.014,202.44,NA,NA,"121"
"11","w[11]","11","f",182.341,179.795,135.725,245.941,NA,NA,"122"
"111","w[11]","11","m",177.909,175.329,132.393,239.585,NA,NA,"123"
