Estimate Status,Year,State,Common Name,Total Harvest (A+B1),PSE Harvest,Released (B2),PSE Released
FINAL,1999,LOUISIANA,SHEEPSHEAD,"322,315",12.5,"266,188",13.3
FINAL,1999,MISSISSIPPI,SHEEPSHEAD,"29,315",20.6,"19,241",27
FINAL,1999,TEXAS,SHEEPSHEAD,"100,098",.,.,.
FINAL,2000,ALABAMA,SHEEPSHEAD,"140,634",18.5,"60,077",24.9
FINAL,2000,FLORIDA,SHEEPSHEAD,"725,095",10.5,"1,272,415",7.9
FINAL,2000,LOUISIANA,SHEEPSHEAD,"388,563",17.7,"384,164",21.9
FINAL,2000,MISSISSIPPI,SHEEPSHEAD,"43,384",37.3,"11,187",33.6
FINAL,2000,TEXAS,SHEEPSHEAD,"77,680",.,.,.
FINAL,2001,ALABAMA,SHEEPSHEAD,"312,614",17,"108,521",23.1
FINAL,2001,FLORIDA,SHEEPSHEAD,"744,515",9.9,"960,534",7.2
FINAL,2001,LOUISIANA,SHEEPSHEAD,"326,116",12.2,"452,628",11.1
FINAL,2001,MISSISSIPPI,SHEEPSHEAD,"95,167",28,"126,891",22.1
FINAL,2001,TEXAS,SHEEPSHEAD,"80,026",.,.,.
FINAL,2002,ALABAMA,SHEEPSHEAD,"190,641",20.2,"81,138",18.8
FINAL,2002,FLORIDA,SHEEPSHEAD,"685,530",10.4,"1,125,198",7.6
FINAL,2002,LOUISIANA,SHEEPSHEAD,"607,042",13.2,"433,035",10.4
FINAL,2002,MISSISSIPPI,SHEEPSHEAD,"68,878",27.3,"61,790",26.9
FINAL,2002,TEXAS,SHEEPSHEAD,"83,918",.,.,.
FINAL,2003,ALABAMA,SHEEPSHEAD,"299,069",16.6,"88,210",25.3
FINAL,2003,FLORIDA,SHEEPSHEAD,"760,751",9,"1,370,007",7.6
FINAL,2003,LOUISIANA,SHEEPSHEAD,"804,771",12.3,"519,626",13.8
FINAL,2003,MISSISSIPPI,SHEEPSHEAD,"76,724",23.3,"26,558",26.8
FINAL,2003,TEXAS,SHEEPSHEAD,"76,122",.,.,.
FINAL,2004,ALABAMA,SHEEPSHEAD,"462,143",26.1,"171,726",30
FINAL,2004,FLORIDA,SHEEPSHEAD,"708,614",13.7,"1,399,433",16.1
FINAL,2004,LOUISIANA,SHEEPSHEAD,"1,289,047",20,"568,046",18
FINAL,2004,MISSISSIPPI,SHEEPSHEAD,"37,520",38.4,"33,644",32.5
FINAL,2004,TEXAS,SHEEPSHEAD,"66,952",.,.,.
FINAL,2005,ALABAMA,SHEEPSHEAD,"279,854",20.2,"85,893",28.1
FINAL,2005,FLORIDA,SHEEPSHEAD,"1,050,108",19.5,"1,856,219",18.9
FINAL,2005,LOUISIANA,SHEEPSHEAD,"644,499",19,"429,005",13.7
FINAL,2005,MISSISSIPPI,SHEEPSHEAD,"27,646",47.1,"23,295",41.3
FINAL,2005,TEXAS,SHEEPSHEAD,"80,741",.,.,.
FINAL,2006,ALABAMA,SHEEPSHEAD,"124,058",23.9,"79,799",37.1
FINAL,2006,FLORIDA,SHEEPSHEAD,"623,318",22.6,"942,557",15
FINAL,2006,LOUISIANA,SHEEPSHEAD,"325,831",19.5,"462,762",23.4
FINAL,2006,MISSISSIPPI,SHEEPSHEAD,"36,115",40.5,"22,628",49.1
FINAL,2006,TEXAS,SHEEPSHEAD,"78,284",.,.,.
FINAL,2007,ALABAMA,SHEEPSHEAD,"319,941",32.7,"30,067",41.6
FINAL,2007,FLORIDA,SHEEPSHEAD,"590,627",20,"893,971",15.9
FINAL,2007,LOUISIANA,SHEEPSHEAD,"270,569",14.4,"287,162",22.2
FINAL,2007,MISSISSIPPI,SHEEPSHEAD,"17,233",31.7,"10,933",39.8
FINAL,2007,TEXAS,SHEEPSHEAD,"45,996",.,.,.
FINAL,2008,ALABAMA,SHEEPSHEAD,"289,046",37.7,"158,523",38.5
FINAL,2008,FLORIDA,SHEEPSHEAD,"556,779",15.8,"855,456",18.5
FINAL,2008,LOUISIANA,SHEEPSHEAD,"705,800",16.7,"448,257",18.9
FINAL,2008,MISSISSIPPI,SHEEPSHEAD,"16,738",40.9,"25,183",34.2
FINAL,2008,TEXAS,SHEEPSHEAD,"46,291",.,.,.
FINAL,2009,ALABAMA,SHEEPSHEAD,"165,809",27.5,"48,285",28
FINAL,2009,FLORIDA,SHEEPSHEAD,"681,263",17,"808,285",15
FINAL,2009,LOUISIANA,SHEEPSHEAD,"703,498",18.7,"473,369",17.4
FINAL,2009,MISSISSIPPI,SHEEPSHEAD,"22,479",60.9,"8,912",40.1
FINAL,2009,TEXAS,SHEEPSHEAD,"34,125",.,.,.
FINAL,2010,ALABAMA,SHEEPSHEAD,"217,716",28.7,"50,845",56.4
FINAL,2010,FLORIDA,SHEEPSHEAD,"455,074",14.3,"1,245,509",14.7
FINAL,2010,LOUISIANA,SHEEPSHEAD,"430,050",18.8,"439,093",19.2
FINAL,2010,MISSISSIPPI,SHEEPSHEAD,"42,595",56.5,"3,231",50.8
FINAL,2010,TEXAS,SHEEPSHEAD,"49,371",.,.,.
FINAL,2011,ALABAMA,SHEEPSHEAD,"480,387",18.7,"145,529",24.9
FINAL,2011,FLORIDA,SHEEPSHEAD,"606,810",14.3,"1,275,448",10.9
FINAL,2011,LOUISIANA,SHEEPSHEAD,"869,132",28,"187,997",15.3
FINAL,2011,MISSISSIPPI,SHEEPSHEAD,"259,648",82.1,"24,263",61.4
FINAL,2011,TEXAS,SHEEPSHEAD,"56,880",.,.,.
FINAL,2012,ALABAMA,SHEEPSHEAD,"313,161",20.3,"47,569",30.9
FINAL,2012,FLORIDA,SHEEPSHEAD,"628,124",17.6,"1,177,079",11.3
FINAL,2012,LOUISIANA,SHEEPSHEAD,"396,909",18.3,"236,949",12.9
FINAL,2012,MISSISSIPPI,SHEEPSHEAD,"114,892",29.6,"54,205",41.5
FINAL,2012,TEXAS,SHEEPSHEAD,"143,129",.,.,.
FINAL,2013,ALABAMA,SHEEPSHEAD,"285,075",34,"46,310",43.5
FINAL,2013,FLORIDA,SHEEPSHEAD,"524,242",14.7,"1,083,886",13.2
FINAL,2013,LOUISIANA,SHEEPSHEAD,"368,192",8,"476,883",7.5
FINAL,2013,MISSISSIPPI,SHEEPSHEAD,"93,092",33.3,"65,049",77.6
FINAL,2013,TEXAS,SHEEPSHEAD,"84,190",.,.,.
FINAL,2014,ALABAMA,SHEEPSHEAD,"120,976",22.8,"17,622",57.8
FINAL,2014,FLORIDA,SHEEPSHEAD,"894,581",13.3,"1,534,955",18.6
FINAL,2014,LOUISIANA,SHEEPSHEAD,"261,617",29.1,.,.
FINAL,2014,MISSISSIPPI,SHEEPSHEAD,"75,227",29.5,"26,518",40.8
FINAL,2014,TEXAS,SHEEPSHEAD,"38,845",.,.,.
FINAL,2015,ALABAMA,SHEEPSHEAD,"316,239",38.7,"167,934",66.8
FINAL,2015,FLORIDA,SHEEPSHEAD,"589,074",21.6,"902,181",15.9
FINAL,2015,LOUISIANA,SHEEPSHEAD,"257,726",8.1,.,.
FINAL,2015,MISSISSIPPI,SHEEPSHEAD,"113,073",34.5,"492,215",30.9
FINAL,2015,TEXAS,SHEEPSHEAD,"50,976",.,.,.
