Estimate Status,Year,State,Common Name,Total Harvest (A+B1),PSE Harvest,Released (B2),PSE Released
FINAL,1981,ALABAMA,SHEEPSHEAD,428,100,428,100
FINAL,1981,FLORIDA,SHEEPSHEAD,"426,647",21,"186,767",35.9
FINAL,1981,LOUISIANA,SHEEPSHEAD,"176,794",43.9,"14,948",52.2
FINAL,1981,MISSISSIPPI,SHEEPSHEAD,"21,015",33.4,"4,906",63.3
FINAL,1981,TEXAS,SHEEPSHEAD,"265,833",26.6,.,.
FINAL,1982,ALABAMA,SHEEPSHEAD,"53,713",38.9,448,78.5
FINAL,1982,FLORIDA,SHEEPSHEAD,"702,444",16.9,"372,794",24.8
FINAL,1982,LOUISIANA,SHEEPSHEAD,"301,735",17.9,"262,655",25.3
FINAL,1982,MISSISSIPPI,SHEEPSHEAD,"148,368",21.9,"95,289",40.9
FINAL,1982,TEXAS,SHEEPSHEAD,"89,402",26.6,.,.
FINAL,1983,ALABAMA,SHEEPSHEAD,"92,958",42.8,"15,157",61.9
FINAL,1983,FLORIDA,SHEEPSHEAD,"1,195,968",23.9,"575,212",62.6
FINAL,1983,LOUISIANA,SHEEPSHEAD,"777,457",15.8,"263,724",38.2
FINAL,1983,MISSISSIPPI,SHEEPSHEAD,"70,538",46.2,"84,108",47.9
FINAL,1983,TEXAS,SHEEPSHEAD,"80,249",.,.,.
FINAL,1984,ALABAMA,SHEEPSHEAD,"35,010",28.9,"1,638",63.5
FINAL,1984,FLORIDA,SHEEPSHEAD,"950,623",16.6,"1,187,286",19.4
FINAL,1984,LOUISIANA,SHEEPSHEAD,"286,154",21.1,"113,177",45.4
FINAL,1984,MISSISSIPPI,SHEEPSHEAD,"27,770",26.7,"58,338",54.8
FINAL,1984,TEXAS,SHEEPSHEAD,"75,207",.,.,.
FINAL,1985,ALABAMA,SHEEPSHEAD,"25,037",32.7,"14,250",58.7
FINAL,1985,FLORIDA,SHEEPSHEAD,"983,541",18.7,"197,090",29.7
FINAL,1985,LOUISIANA,SHEEPSHEAD,"341,373",33.3,"240,180",38.9
FINAL,1985,MISSISSIPPI,SHEEPSHEAD,"13,673",39.4,"23,568",58.3
FINAL,1985,TEXAS,SHEEPSHEAD,"86,297",.,.,.
FINAL,1986,ALABAMA,SHEEPSHEAD,"78,933",43.3,"16,032",50.4
FINAL,1986,FLORIDA,SHEEPSHEAD,"505,709",16.4,"251,178",21.3
FINAL,1986,LOUISIANA,SHEEPSHEAD,"644,176",55,"537,953",54.9
FINAL,1986,MISSISSIPPI,SHEEPSHEAD,"25,706",20.7,"36,491",35
FINAL,1986,TEXAS,SHEEPSHEAD,"58,397",.,.,.
FINAL,1987,ALABAMA,SHEEPSHEAD,"180,411",20,"33,154",45.3
FINAL,1987,FLORIDA,SHEEPSHEAD,"602,362",16.5,"300,097",20.2
FINAL,1987,LOUISIANA,SHEEPSHEAD,"177,484",14,"104,045",16.5
FINAL,1987,MISSISSIPPI,SHEEPSHEAD,"108,660",21,"71,161",22.6
FINAL,1987,TEXAS,SHEEPSHEAD,"83,106",.,.,.
FINAL,1988,ALABAMA,SHEEPSHEAD,"212,386",21.1,"10,616",50.8
FINAL,1988,FLORIDA,SHEEPSHEAD,"1,642,669",12.1,"531,241",15.3
FINAL,1988,LOUISIANA,SHEEPSHEAD,"325,551",17.1,"263,698",19
FINAL,1988,MISSISSIPPI,SHEEPSHEAD,"223,724",20.6,"146,184",16.9
FINAL,1988,TEXAS,SHEEPSHEAD,"87,069",.,.,.
FINAL,1989,ALABAMA,SHEEPSHEAD,"315,752",20.9,"37,287",38.7
FINAL,1989,FLORIDA,SHEEPSHEAD,"1,723,346",14.1,"197,361",18.2
FINAL,1989,LOUISIANA,SHEEPSHEAD,"320,336",21.6,"211,104",22.6
FINAL,1989,MISSISSIPPI,SHEEPSHEAD,"192,307",18,"130,467",31.5
FINAL,1989,TEXAS,SHEEPSHEAD,"46,461",.,.,.
FINAL,1990,ALABAMA,SHEEPSHEAD,"227,275",49.1,"136,609",82.3
FINAL,1990,FLORIDA,SHEEPSHEAD,"892,094",15.7,"348,310",19.7
FINAL,1990,LOUISIANA,SHEEPSHEAD,"175,746",22.4,"174,602",19.1
FINAL,1990,MISSISSIPPI,SHEEPSHEAD,"68,496",27.3,"48,285",36.8
FINAL,1990,TEXAS,SHEEPSHEAD,"41,145",.,.,.
FINAL,1991,ALABAMA,SHEEPSHEAD,"227,429",26.2,"16,897",46.7
FINAL,1991,FLORIDA,SHEEPSHEAD,"844,453",17.1,"669,777",19.4
FINAL,1991,LOUISIANA,SHEEPSHEAD,"221,374",25.3,"156,243",20.1
FINAL,1991,MISSISSIPPI,SHEEPSHEAD,"65,507",29.2,"38,552",33.2
FINAL,1991,TEXAS,SHEEPSHEAD,"65,352",.,.,.
FINAL,1992,ALABAMA,SHEEPSHEAD,"109,077",15.3,"37,547",26.5
FINAL,1992,FLORIDA,SHEEPSHEAD,"2,094,373",6.9,"1,049,024",7.8
FINAL,1992,LOUISIANA,SHEEPSHEAD,"596,764",25.7,"298,420",12.9
FINAL,1992,MISSISSIPPI,SHEEPSHEAD,"148,891",17.2,"54,462",25.1
FINAL,1992,TEXAS,SHEEPSHEAD,"55,886",.,.,.
FINAL,1993,ALABAMA,SHEEPSHEAD,"150,700",25,"27,371",30.6
FINAL,1993,FLORIDA,SHEEPSHEAD,"1,950,283",7.4,"937,918",7.8
FINAL,1993,LOUISIANA,SHEEPSHEAD,"492,174",13.2,"680,003",16.4
FINAL,1993,MISSISSIPPI,SHEEPSHEAD,"75,318",18.6,"14,744",37.3
FINAL,1993,TEXAS,SHEEPSHEAD,"55,979",.,.,.
FINAL,1994,ALABAMA,SHEEPSHEAD,"128,525",29.1,"12,475",30.7
FINAL,1994,FLORIDA,SHEEPSHEAD,"907,568",9.8,"617,920",8.2
FINAL,1994,LOUISIANA,SHEEPSHEAD,"290,680",10.9,"353,824",12.4
FINAL,1994,MISSISSIPPI,SHEEPSHEAD,"256,239",25.2,"95,708",26.8
FINAL,1994,TEXAS,SHEEPSHEAD,"61,536",.,.,.
FINAL,1995,ALABAMA,SHEEPSHEAD,"273,670",20.7,"22,717",33.2
FINAL,1995,FLORIDA,SHEEPSHEAD,"1,237,207",10,"871,126",20.3
FINAL,1995,LOUISIANA,SHEEPSHEAD,"646,983",16.1,"316,438",16.2
FINAL,1995,MISSISSIPPI,SHEEPSHEAD,"215,152",25.9,"30,930",29.9
FINAL,1995,TEXAS,SHEEPSHEAD,"62,107",.,.,.
FINAL,1996,ALABAMA,SHEEPSHEAD,"96,564",20.7,"8,609",47.1
FINAL,1996,FLORIDA,SHEEPSHEAD,"691,830",9,"709,691",8
FINAL,1996,LOUISIANA,SHEEPSHEAD,"594,449",14.8,"459,209",14.2
FINAL,1996,MISSISSIPPI,SHEEPSHEAD,"81,510",23.6,"42,351",31
FINAL,1996,TEXAS,SHEEPSHEAD,"70,754",.,.,.
FINAL,1997,ALABAMA,SHEEPSHEAD,"122,923",31.1,"22,121",37.5
FINAL,1997,FLORIDA,SHEEPSHEAD,"654,504",11.4,"760,786",10.1
FINAL,1997,LOUISIANA,SHEEPSHEAD,"670,224",13.8,"688,648",14.6
FINAL,1997,MISSISSIPPI,SHEEPSHEAD,"170,550",30.4,"42,318",28.3
FINAL,1997,TEXAS,SHEEPSHEAD,"92,642",.,.,.
FINAL,1998,ALABAMA,SHEEPSHEAD,"95,785",19.1,"42,443",36.7
FINAL,1998,FLORIDA,SHEEPSHEAD,"696,968",10.6,"1,104,341",8.7
FINAL,1998,LOUISIANA,SHEEPSHEAD,"478,003",10.7,"467,927",11.5
FINAL,1998,MISSISSIPPI,SHEEPSHEAD,"70,901",18.1,"38,828",27.8
FINAL,1998,TEXAS,SHEEPSHEAD,"96,125",.,.,.
FINAL,1999,ALABAMA,SHEEPSHEAD,"130,313",17.8,"18,145",28.5
FINAL,1999,FLORIDA,SHEEPSHEAD,"883,989",8.8,"1,129,221",5.9
