"","parameter","state_no_check","sex","mean","X50.","X2.5.","X97.5.","n_eff","Rhat","order"
"Betas_log_a[1]","Betas_log_a[1]","NA","NA",-10.3489963488939,-10.3460325645744,-10.5623524770715,-10.1430371005963,2910.73462055691,0.999983796341236,"1"
"Betas_log_a[2]","Betas_log_a[2]","NA","NA",0.120161298921436,0.120259406579817,0.0557504997436381,0.183050223652836,8000,1.00030033277223,"2"
"Betas_log_a[3]","Betas_log_a[3]","NA","NA",0.0162702704345243,0.0157055893873626,-0.0197209359182022,0.054259471388878,3249.38890202485,0.99984337322372,"3"
"Betas_log_b[1]","Betas_log_b[1]","NA","NA",1.08218902698172,1.08207851003037,1.07083496847018,1.09399093280566,4124.21462823028,0.999942881037112,"4"
"Betas_log_b[2]","Betas_log_b[2]","NA","NA",-0.00795262728268892,-0.00796931205132479,-0.0116627757853709,-0.00416854591638841,8000,1.0002984154033,"5"
"Betas_log_b[3]","Betas_log_b[3]","NA","NA",-0.00013064307910255,-0.00010509238142676,-0.00232302388616993,0.00192033457075437,5136.36312437869,0.999913081404449,"6"
"sigma_a","sigma_a","NA","NA",0.152328930811754,0.135872549635716,0.0669705668923967,0.336134114270074,2666.24523102246,1.0005453078597,"7"
"sigma_b","sigma_b","NA","NA",0.00864919846186019,0.0077203489399712,0.00388386056793116,0.0190818039958313,2761.78765991312,0.999903025971721,"8"
"sigma","sigma","NA","NA",0.0918127649369963,0.0918118859956226,0.0908867202341991,0.0927527151725465,8000,0.999902561756777,"9"
"log_a_re[1]","log_a_re[1]","NA","NA",0.0757779077789527,0.064823548167093,-0.157675661538582,0.365245608203357,4933.79544334188,0.9998951023528,"10"
"log_a_re[2]","log_a_re[2]","NA","NA",0.00158809774663866,0.000958368423762926,-0.239862298443647,0.246848834791331,4670.3747935764,1.00007260398806,"11"
"log_a_re[3]","log_a_re[3]","NA","NA",-0.0304181210787382,-0.0279466343001379,-0.277694020438311,0.196057253166887,6823.41643916223,0.999895125536975,"12"
"log_a_re[4]","log_a_re[4]","NA","NA",-0.03761798729733,-0.0353512010582655,-0.205905478808843,0.116955742557754,5208.23788932948,0.999929135178775,"13"
