DATE,Month,Number,TL,FL,SL,WGHT,SEX,Gross Mat,AGE,M_CODE,gonad wt,OFBW,GSI,histo class,Dev subclass
12/16/2003,12,AP002,431,390,332,1319.2,2,3,4,6,8.60,1310.60,0.656188005,6,
12/16/2003,12,AP003,458,410,353,1567.5,2,4,4,6,16.50,1551.00,1.063829787,2,1
12/16/2003,12,AP007,388,350,297,1006.3,2,3,3,5,9.00,997.30,0.902436579,6,
12/17/2003,12,AP011,446,406,354,1524.6,2,3,4,6,9.50,1515.10,0.627021319,6,
12/17/2003,12,AP013,437,395,342,1441.5,2,5,4,6,15.60,1425.90,1.094045866,2,1
1/13/2004,1,AP017,487,441,381,1989.4,2,4,4,6,18.90,1970.50,0.959147425,2,1
1/13/2004,1,AP018,395,355,306,1014.7,2,4,4,6,7.30,1007.40,0.724637681,2,1
1/13/2004,1,AP021,422,380,330,1463.3,2,4,3,6,15.60,1447.70,1.07757132,2,1
1/14/2004,1,AP022,402,364,311,1185.0,2,4,3,6,12.30,1172.70,1.048861601,2,1
1/16/2004,1,AP025,401,363,315,1261.2,2,4,4,5,11.70,1249.50,0.93637455,2,1
1/26/2004,1,AP027,270,244,210,367.4,2,1,1,6,0.50,366.90,0.136276915,1,
1/26/2004,1,AP029,278,255,212,432.8,2,2,4,4,2.80,430.00,0.651162791,1,
1/29/2004,1,AP033,382,344,303,983.1,2,6,4,5,14.00,969.10,1.444639356,2,2
1/29/2004,1,AP036,456,410,352,1669.7,2,6,4,6,16.40,1653.30,0.991955483,2,1
2/26/2004,2,AP038,372,339,291,933.1,2,3,3,6,15.30,917.80,1.667029854,2,2
2/27/2004,2,AP039,353,321,280,744.3,2,3,2,6,5.50,738.80,0.74445046,1,
2/27/2004,2,AP040,489,440,383,2253.5,2,6,3,6,207.80,2045.70,10.15789216,3,
3/2/2004,3,AP041,491,449,392,1999.2,2,5,3,6,44.30,1954.90,2.266100568,2,3
3/9/2004,3,AP042,384,346,301,937.9,2,3,3,6,13.00,924.90,1.405557358,2,3
3/11/2004,3,AP043,301,275,240,508.6,2,3,1,5,3.00,505.60,0.59335443,2,2
3/11/2004,3,AP048,320,292,246,576.5,2,3,1,6,3.40,573.10,0.593264701,1,
3/11/2004,3,AP050,289,262,216,458.5,2,3,1,5,1.90,456.60,0.416119141,1,
3/15/2004,3,AP052,476,432,378,2187.7,2,6,4,6,190.10,1997.60,9.516419704,3,
3/16/2004,3,AP054,375,338,290,907.0,2,3,3,5,7.20,899.80,0.800177817,2,1
3/16/2004,3,AP055,285,259,223,416.8,2,4,1,6,1.80,415.00,0.43373494,1,
3/18/2004,3,AP057,458,415,360,1779.1,2,6,4,5,128.90,1650.20,7.811174403,2,3
3/18/2004,3,AP061,304,275,232,556.0,2,2,1,6,1.70,554.30,0.306693126,1,
3/29/2004,3,AP066,420,375,322,1279.3,2,7,4,6,200.40,1078.90,18.574474,4,
3/29/2004,3,AP067,396,360,307,1159.1,2,7,3,6,157.20,1001.90,15.69018864,4,
3/29/2004,3,AP068,375,336,291,914.5,2,7,4,5,120.00,794.50,15.10383889,4,
3/29/2004,3,AP069,454,416,355,2023.7,2,7,3,5,242.00,1781.70,13.58253354,4,
3/29/2004,3,AP070,346,312,268,701.3,2,7,4,6,98.50,602.80,16.34041141,4,
3/29/2004,3,AP075,401,372,321,1248.1,2,7,4,4,190.10,1058.00,17.96786389,4,
3/29/2004,3,AP076,418,375,325,1239.6,2,7,5,6,118.10,1121.50,10.53053946,4,
4/19/2004,4,AP079,344,312,270,668.4,2,4,3,5,10.30,658.10,1.565111685,4,
4/19/2004,4,AP082,496,452,390,1833.6,2,7,3,5,91.00,1742.60,5.222081947,4,
4/19/2004,4,AP083,403,376,322,1147.4,2,7,3,6,71.80,1075.60,6.675343994,4,
4/19/2004,4,AP084,349,320,271,675.4,2,9,3,5,2.90,672.50,0.431226766,5,transitional?
5/7/2004,5,AP085,346,316,260,733.9,2,11,5,6,4.80,729.10,0.658345906,5,
