DATE,Month,Number,TL,FL,SL,WGHT,SEX,Gross Mat,AGE,M_CODE,gonad wt,OFBW,GSI,histo class,Dev subclass
5/7/2004,5,AP088,330,303,261,659.5,2,11,6,6,4.60,654.90,0.702397313,5,
5/17/2004,5,AP089,294,269,225,405.4,2,11,1,1,1.90,403.50,0.470879802,6,
6/29/2004,6,AP090,304,275,234,522.4,2,9,2,4,2.30,520.10,0.442222649,6,
6/29/2004,6,AP091,412,378,325,1130.2,2,10,4,6,3.50,1126.70,0.310641697,6,
7/14/2004,7,AP092,404,385,314,1220.7,2,11,3,3,4.90,1215.80,0.403026814,6,
7/15/2004,7,AP093,365,330,281,747.6,2,11,4,6,3.00,744.60,0.402900886,6,
7/15/2004,7,AP094,405,365,321,999.9,2,11,3,4,5.00,994.90,0.502563072,6,
8/3/2004,8,AP097,462,418,360,1653.3,2,11,4,6,6.00,1647.30,0.36423238,6,
8/3/2004,8,AP098,413,376,328,1177.5,2,9,3,6,5.10,1172.40,0.435005118,6,
8/3/2004,8,AP099,425,385,335,1315.1,2,9,3,5,6.70,1308.40,0.512075818,6,
8/3/2004,8,AP100,548,500,442,3006.2,2,11,-1,-1,5.20,3001.00,0.173275575,,
8/3/2004,8,AP101,281,256,218,403.0,2,9,1,5,0.80,402.20,0.198906017,6,
9/10/2004,9,AP104,308,279,241,481.9,2,2,3,4,2.10,479.80,0.437682368,6,
9/10/2004,9,AP105,350,321,275,777.2,2,11,4,3,0.50,776.70,0.06437492,6,
9/10/2004,9,AP106,388,354,306,1030.8,2,2,4,3,4.10,1026.70,0.399337684,6,
9/28/2004,9,AP107,234,213,180,230.0,2,2,1,4,0.40,229.60,0.174216028,1,
10/20/2004,10,AP109,325,299,255,602.9,2,2,2,4,3.10,599.80,0.516838946,6,
10/20/2004,10,AP111,329,300,255,665.1,2,2,2,5,2.60,662.50,0.39245283,6,
10/28/2004,10,AP114,368,328,282,858.1,2,3,5,5,4.50,853.60,0.527179007,6,
11/29/2004,11,AP120,386,350,302,1008.3,2,2,2,6,6.60,1001.70,0.658879904,6,
11/29/2004,11,AP121,410,371,325,1203.3,2,2,3,5,9.20,1194.10,0.770454736,6,
11/29/2004,11,AP122,444,400,351,1336.1,2,3,4,6,11.30,1324.80,0.852958937,6,
11/29/2004,11,AP127,432,391,340,1453.7,2,3,4,5,15.30,1438.40,1.063681869,6,
12/3/2004,12,AP129,445,403,351,1336.8,2,2,3,,10.40,1326.40,0.784077201,6,
12/3/2004,12,AP130,494,440,381,2260.6,2,2,5,,16.20,2244.40,0.721796471,6,
12/3/2004,12,AP131,389,350,302,1014.5,2,2,3,,8.90,1005.60,0.885043755,6,
12/6/2004,12,AP139,355,330,285,914.4,2,2,2,,6.20,908.20,0.682669016,2,2
12/15/2004,12,AP142,416,381,330,1213.9,2,3,4,,13.40,1200.50,1.116201583,2,3
12/15/2004,12,AP143,461,410,360,1678.2,2,3,4,,15.50,1662.70,0.93221868,6,
2/16/2005,2,AP146,374,332,295,873.9,2,3,4,,8.30,865.60,0.958872458,2,2
2/16/2005,2,AP147,275,246,212,376.0,2,3,2,,2.70,373.30,0.723278864,2,2
3/18/2005,3,AP153,367,334,286,902.6,2,3,2,,3.30,899.30,0.366952074,6,
4/16/2005,4,AP155,558,518,450,-1.0,2,6,5,,,,,3,
4/16/2005,4,AP156,555,515,453,-1.0,2,7,5,,, ,,4,
4/16/2005,4,AP157,522,478,416,-1.0,2,6,4,,, ,,4,
4/16/2005,4,AP158,549,501,443,-1.0,2,7,5,,, ,,4,
4/16/2005,4,AP159,515,473,418,-1.0,2,7,4,,, ,,4,
4/20/2005,4,AP160,501,455,394,1860.4,2,9,4,,15.50,1844.90,0.840153938,5,
4/22/2005,4,AP164,529,485,420,2342.4,2,6,5,,90.80,2251.60,4.032687866,5,
6/23/2005,6,AP168,376,340,292,931.6,2,9,3,,3.30,928.30,0.355488527,6,
6/30/2005,6,AP171,391,353,303,1074.3,2,9,6,,5.40,1068.90,0.505192254,6,
6/30/2005,6,AP173,439,396,345,1651.8,2,9,4,,6.50,1645.30,0.39506473,6,
6/30/2005,6,AP174,388,349,307,1046.3,2,9,4,,5.00,1041.30,0.480169019,6,
6/30/2005,6,AP175,421,377,329,1315.3,2,9,2,,4.60,1310.70,0.350957504,6,
7/3/2005,7,AP176,522,475,417,2416.3,2,9,10,,17.40,2398.90,0.725332444,6,
7/27/2005,7,AP180,86,71,46,120.4,2,1,1,,0.00,120.40,,1,
7/29/2005,7,AP181,354,319,274,794.1,2,1,4,,1.20,792.90,0.151343171,,
8/12/2005,8,AP182,310,280,240,481.3,2,9,3,,1.30,480.00,0.270833333,6,
8/12/2005,8,AP183,278,250,216,337.7,2,9,2,,0.70,337.00,0.207715134,6,
8/19/2005,8,AP184,352,315,272,694.3,2,2,5,,3.50,690.80,0.506658946,6,
8/19/2005,8,AP185,456,402,349,1362.8,2,2,12,,7.20,1355.60,0.531130127,6,
10/14/2005,10,AP186,444,398,344,1481.0,2,3,5,,8.80,1472.20,0.597744872,6,
10/27/2005,10,AP188,388,352,302,1037.3,2,4,2,,7.40,1029.90,0.718516361,6,
10/27/2005,10,AP189,398,362,313,1140.5,2,3,2,,5.30,1135.20,0.466878083,6,
10/27/2005,10,AP190,448,410,354,1728.0,2,4,6,,20.50,1707.50,1.200585652,6,
10/31/2005,10,AP194,434,400,341,1617.8,2,5,4,,14.40,1603.40,0.898091555,6,
10/31/2005,10,AP196,550,500,434,2510.8,2,2,6,,0.40,2510.40,0.015933716,6,
11/29/2005,11,AP197,470,420,365,1573.8,2,2,5,,15.80,1558.00,1.014120668,6,
11/30/2005,11,AP198,365,332,284,1024.5,2,2,2,,6.40,1018.10,0.628621943,6,
11/30/2005,11,AP199,404,362,313,1261.2,2,2,3,,10.80,1250.40,0.863723608,6,
11/30/2005,11,AP200,480,446,375,2289.4,2,2,9,,22.90,2266.50,1.010368409,6,
11/30/2005,11,AP202,374,340,292,892.3,2,2,2,,6.50,885.80,0.733799955,6,
11/30/2005,11,AP204,361,329,288,849.0,2,2,2,,5.10,843.90,0.604337007,6,
11/30/2005,11,AP205,385,352,310,1131.8,2,2,2,,7.40,1124.40,0.65812878,6,
12/6/2005,12,AP206,446,401,349,1329.1,2,2,3,,11.30,1317.80,0.857489756,6,
12/7/2005,12,AP207,458,414,360,1825.1,2,2,4,,15.30,1809.80,0.845397281,3,
12/20/2005,12,AP213,461,416,376,1678.0,2,4,6,,15.10,1662.90,0.908052198,6,
1/9/2006,1,AP216,436,395,344,1321.9,2,3,4,6,10.40,1311.50,0.792985132,6,
1/25/2006,1,AP218,301,279,238,528.3,2,3,1,6,2.70,525.60,0.51369863,2,1
1/25/2006,1,AP220,431,382,333,1525.2,2,2,3,5,13.70,1511.50,0.906384386,6,hermaphrodite?
3/27/2006,3,AP223,395,358,320,1078.3,2,7,5,6,116.90,961.40,12.15935095,4,
3/27/2006,3,AP225,348,311,281,774.1,2,6,3,6,63.40,710.70,8.920782327,3,
3/27/2006,3,AP230,391,351,313,1087.2,2,6,3,3,75.10,1012.10,7.420215394,3,
3/27/2006,3,AP231,414,384,340,1310.9,2,7,3,5,123.50,1187.40,10.40087586,3,
3/27/2006,3,AP232,471,436,389,1907.9,2,8,6,6,284.60,1623.30,17.53218752,4,
3/29/2006,3,AP234,445,410,363,1718.2,2,7,6,6,181.20,1537.00,11.78919974,4,
3/29/2006,3,AP236,472,430,381,1998.7,2,7,6,6,166.60,1832.10,9.093390099,4,
3/29/2006,3,AP237,402,366,315,1173.1,2,7,5,6,119.60,1053.50,11.35263408,4,
3/29/2006,3,AP238,395,356,310,1236.4,2,7,4,6,188.70,1047.70,18.01088098,4,
3/29/2006,3,AP241,590,530,471,3960.0,2,7,9,6,405.30,3554.70,11.40180606,4,
3/29/2006,3,AP242,600,567,504,4600.0,2,7,7,6,600.60,3999.40,15.01725259,4,
4/3/2006,4,AP246,441,402,351,1665.8,2,6,6,6,147.30,1518.50,9.7003622,3,
4/3/2006,4,AP248,424,384,337,1539.7,2,4,3,5,22.80,1516.90,1.503065462,3,
4/5/2006,4,AP249,518,473,416,2490.1,2,7,5,5,237.30,2252.80,10.53355824,3,
4/13/2006,4,AP252,415,373,326,1291.5,2,3,2,6,8.40,1283.10,0.654664484,6,
4/13/2006,4,AP253,414,373,323,1251.7,2,6,3,4,13.10,1238.60,1.057645729,5,
4/27/2006,4,AP254,421,380,332,1277.7,2,11,5,6,8.20,1269.50,0.645923592,5,
4/27/2006,4,AP255,454,407,350,1602.3,2,9,3,5,5.80,1596.50,0.363294707,6,
4/27/2006,4,AP256,411,368,322,1341.9,2,10,2,5,6.50,1335.40,0.486745544,6,
5/12/2006,5,AP257,404,362,313,1134.2,2,9,2,6,4.40,1129.80,0.38944946,6,
5/12/2006,5,AP258,383,345,299,1025.2,2,9,3,6,3.10,1022.10,0.303297133,6,
5/30/2006,5,AP259,430,388,337,1610.8,2,11,3,5,1.80,1609.00,0.111870727,6,
5/30/2006,5,AP262,367,333,283,996.9,2,9,3,4,4.70,992.20,0.47369482,6,
5/30/2006,5,AP263,412,371,319,1355.5,2,9,3,1,4.30,1351.20,0.318235642,6,
8/17/2006,8,AP264,440,410,354,1549.9,2,11,3,5,1.00,1548.90,0.064561947,3,
10/2/2006,10,AP267,356,322,278,810.5,2,2,3,4,5.50,805.00,0.683229814,6,
10/2/2006,10,AP268,380,344,299,950.5,2,2,5,4,6.20,944.30,0.656571005,6,
11/28/2006,11,AP269,323,288,254,608.9,2,3,1,6,2.90,606.00,0.478547855,6,
12/15/2006,12,AP271,433,390,341,1500.0,2,5,3,4,19.90,1480.10,1.34450375,2,2
12/15/2006,12,AP273,452,412,358,1680.0,2,4,3,5,14.50,1665.50,0.870609427,2,1
2/8/2007,2,AP275,472,424,372,1960.0,2,3,,,19.60,1940.40,1.01010101,2,1
2/22/2007,2,AP276,532,489,423,2575.7,2,3,,,33.30,2542.40,1.309786029,2,2
2/22/2007,2,AP279,355,318,270,735.3,2,3,,,6.50,728.80,0.891877058,2,1
2/28/2007,2,AP280,379,342,296,1018.8,1,2,,,0.80,1018.00,0.078585462,9,6
2/28/2007,2,AP283,404,374,317,1382.1,2,3,,,33.10,1349.00,2.453669385,2,3
2/28/2007,2,AP284,404,368,315,1186.4,2,2,,,14.80,1171.60,1.263229771,2,1
3/7/2007,3,AP286,437,395,343,1595.2,2,3,,,36.30,1558.90,2.328565014,3,
3/7/2007,3,AP287,394,358,313,1203.9,2,4,,,49.90,1154.00,4.324090121,3,
3/7/2007,3,AP288,437,394,345,1628.3,2,4,,,53.90,1574.40,3.423526423,3,
3/7/2007,3,AP292,537,491,432,3080.0,2,5,,,143.60,2936.40,4.890341915,3,
3/7/2007,3,AP293,455,409,357,1732.6,2,3,,,18.10,1714.50,1.055701371,2,3
3/7/2007,3,AP294,332,306,259,782.5,2,2,,,4.60,777.90,0.591335647,2,1
3/22/2007,3,AP295,401,361,312,1148.1,2,2,,,8.90,1139.20,0.78125,6,
3/26/2007,3,AP297,397,360,310,1099.3,2,7,,,94.80,1004.50,9.43753111,4,
3/26/2007,3,AP298,440,399,347,1701.6,2,7,,,223.80,1477.80,15.14413317,4,
3/26/2007,3,AP299,510,465,410,2708.2,2,7,,,423.30,2284.90,18.52597488,4,
3/26/2007,3,AP300,482,439,385,2098.9,2,7,,,232.90,1866.00,12.4812433,4,
3/26/2007,3,AP301,401,369,321,1281.1,2,7,,,180.30,1100.80,16.37899709,4,
3/26/2007,3,AP302,476,435,374,1910.3,2,8,,,301.70,1608.60,18.75543951,4,
3/26/2007,3,AP303,422,389,340,1407.1,2,7,,,199.20,1207.90,16.49143141,4,
3/26/2007,3,AP304,425,388,334,1369.7,2,8,,,143.40,1226.30,11.69371279,4,
3/29/2007,3,AP308,285,260,225,460.9,2,2,,,1.90,459.00,0.413943355,6,
3/29/2007,3,AP310,320,290,254,666.4,2,2,,,3.40,663.00,0.512820513,6,
3/29/2007,3,AP311,408,370,327,1332.3,2,3,,,14.90,1317.40,1.131015637,5,
3/29/2007,3,AP312,388,350,309,1163.5,2,2,,,6.60,1156.90,0.570490103,6,
3/29/2007,3,AP314,441,399,347,1602.4,2,4,,,71.60,1530.80,4.677292919,5,
3/29/2007,3,AP315,206,190,161,174.8,2,1,,,0.20,174.60,0.114547537,9,1
4/2/2007,4,AP316,445,401,350,1732.1,2,7,,,119.70,1612.40,7.423716199,4,
4/2/2007,4,AP317,445,405,353,1455.7,2,6,,,49.30,1406.40,3.505403868,5,
4/2/2007,4,AP318,464,416,360,1549.3,2,7,,,39.10,1510.20,2.589061052,4,
4/2/2007,4,AP319,446,410,360,1554.1,2,7,,,120.90,1433.20,8.435668434,4,
4/2/2007,4,AP321,485,450,391,2315.7,2,7,,,152.10,2163.60,7.029950083,4,
4/2/2007,4,AP322,398,360,308,1164.4,2,6,,,91.20,1073.20,8.497950056,3,
4/3/2007,4,AP323,455,415,360,1484.1,2,7,,,70.10,1414.00,4.957567185,4,
4/3/2007,4,AP324,410,375,325,1047.4,2,7,,,77.00,970.40,7.934872218,4,
4/3/2007,4,AP325,421,379,330,1277.2,2,7,,,111.60,1165.60,9.574468085,4,
4/3/2007,4,AP326,406,367,315,1151.7,2,7,,,106.40,1045.30,10.17889601,4,
4/3/2007,4,AP327,374,339,295,878.9,2,7,,,65.70,813.20,8.07919331,4,
4/3/2007,4,AP328,366,328,281,813.8,2,7,,,70.40,743.40,9.47000269,4,
4/3/2007,4,AP329,390,351,305,1082.5,2,7,,,122.60,959.90,12.77216377,4,
4/3/2007,4,AP330,430,386,340,1265.2,2,8,,,94.50,1170.70,8.072093619,4,
4/16/2007,4,AP332,501,453,395,2078.1,2,9,,,20.00,2058.10,0.971770079,5,
4/16/2007,4,AP336,480,440,379,2029.0,2,9,,,28.30,2000.70,1.414504923,5,
4/17/2007,4,AP339,448,409,351,1639.9,2,7,,,94.10,1545.80,6.087462802,,
4/17/2007,4,AP340,543,499,438,2888.3,2,8,,,202.90,2685.40,7.555671408,,
4/17/2007,4,AP341,464,424,378,1671.2,2,8,,,39.20,1632.00,2.401960784,,
4/17/2007,4,AP343,499,452,406,2108.2,2,9,,,12.10,2096.10,0.577262535,,
4/17/2007,4,AP344,512,473,412,2613.7,2,8,,,202.00,2411.70,8.375834474,,
4/20/2007,4,AP345,561,508,448,2591.1,2,10,,,38.00,2553.10,1.488386667,,
4/20/2007,4,AP346,422,382,333,1253.3,2,9,,,90.90,1162.40,7.820027529,,
4/20/2007,4,AP348,467,428,379,1700.4,2,10,,,6.80,1693.60,0.401511573,,
4/20/2007,4,AP349,462,415,370,1563.8,2,9,,,81.00,1482.80,5.462638252,,
1/14/2004,1,AP023,391,354,300,1043.5,1,4,3,5,1.90,1041.60,0.182411674,2,
1/12/2004,1,AP015,310,283,242,554.4,1,11,1,6,0.70,553.70,0.12642225,3,1
1/12/2004,1,AP016,435,395,335,1325.8,1,4,4,6,1.80,1324.00,0.135951662,3,2
1/13/2004,1,AP019,399,360,307,1084.4,1,2,4,5,0.80,1083.60,0.073827981,3,2
1/13/2004,1,AP020,469,423,367,1614.9,1,4,5,4,2.10,1612.80,0.130208333,3,2
1/16/2004,1,AP024,372,339,292,942.2,1,4,4,4,2.40,939.80,0.255373484,3,2
1/16/2004,1,AP026,342,326,269,730.9,1,3,4,5,1.70,729.20,0.2331322,3,1
1/26/2004,1,AP028,334,304,259,674.8,1,3,1,6,0.60,674.20,0.088994364,3,1
1/26/2004,1,AP030,395,355,303,1020.5,1,4,3,5,3.80,1016.70,0.373758237,3,2
1/26/2004,1,AP031,372,343,290,908.4,1,4,3,5,2.30,906.10,0.253835118,3,1
1/26/2004,1,AP032,451,412,355,1543.4,1,4,6,5,3.00,1540.40,0.194754609,3,2
1/29/2004,1,AP034,415,379,326,1331.6,1,4,5,6,2.70,1328.90,0.203175559,3,1
1/29/2004,1,AP035,441,400,351,1429.7,1,4,4,6,3.00,1426.70,0.210275461,3,1
1/25/2006,1,AP217,510,455,407,2259.9,1,2,6,6,1.60,2258.30,0.070849754,3,1
1/25/2006,1,AP219,452,407,355,1583.3,1,2,5,6,0.80,1582.50,0.050552923,3,
2/16/2005,2,AP148,232,211,180,215.3,1,-1,1,,0.00,215.30,,2,
2/16/2005,2,AP150,221,200,171,183.3,1,-1,1,,0.00,183.30,,2,
2/22/2005,2,AP151,284,259,220,372.4,1,3,2,,0.00,372.40,,2,
2/22/2005,2,AP152,385,350,303,924.2,1,2,4,,0.30,923.90,0.032471047,2,
2/28/2007,2,AP280,379,342,296,1018.8,1,2,,,0.80,1018.00,0.078585462,2,
2/20/2004,2,AP037,421,380,331,1231.2,1,4,3,5,5.30,1225.90,0.432335427,3,2
2/14/2005,2,AP144,525,468,412,2613.4,1,9,6,,0.40,2613.00,0.015308075,3,1
2/16/2005,2,AP149,414,375,324,1193.1,1,3,6,,0.50,1192.60,0.041925205,3,1
2/14/2006,2,AP221,350,319,275,818.0,1,3,-1,-1,1.00,817.00,0.122399021,3,1
2/8/2007,2,AP274,454,403,357,1660.0,1,2,,,0.90,1659.10,0.054246278,3,1
2/28/2007,2,AP281,443,409,355,1582.5,1,2,,,1.30,1581.20,0.082216038,3,1
2/28/2007,2,AP282,495,450,385,2236.4,1,8,,,1.50,2234.90,0.067117097,4,2
2/22/2007,2,AP278,391,347,300,1010.7,1,4,,,0.50,1010.20,0.049495149,5,
2/14/2005,2,AP145,555,509,446,2983.8,1,9,11,,1.30,2982.50,0.043587594,,
2/22/2007,2,AP277,482,439,375,1847.6,1,3,,,0.50,1847.10,0.02706946,,
3/11/2004,3,AP049,340,307,261,723.4,1,4,3,5,0.30,723.10,0.041488038,2,1
3/29/2004,3,AP062,239,218,182,235.3,1,1,2,6,0.00,235.30,,2,Transitional
3/7/2007,3,AP289,411,371,324,1251.4,1,4,,,4.10,1247.30,0.328710014,2,
3/11/2004,3,AP044,446,407,351,1736.0,1,4,4,6,43.70,1692.30,2.582284465,3,2
3/11/2004,3,AP045,293,265,222,479.0,1,3,1,6,0.80,478.20,0.167294019,3,2
3/11/2004,3,AP047,420,381,324,1397.1,1,7,4,6,35.60,1361.50,2.614763129,3,1
3/16/2004,3,AP053,430,388,335,1383.8,1,6,4,6,25.00,1358.80,1.839858699,3,2
3/16/2004,3,AP056,382,344,299,981.2,1,6,3,5,15.00,966.20,1.552473608,3,2
3/18/2004,3,AP060,294,268,222,471.9,1,5,1,6,0.50,471.40,0.106067034,3,4
3/29/2004,3,AP064,425,386,338,1101.1,1,5,4,6,4.20,1096.90,0.382897256,3,3
3/29/2004,3,AP073,345,308,265,656.7,1,6,2,6,2.50,654.20,0.382146133,3,3
3/29/2004,3,AP074,478,432,376,1903.1,1,7,3,5,12.40,1890.70,0.655841752,3,3
3/29/2004,3,AP077,402,361,308,973.1,1,7,4,5,3.60,969.50,0.371325425,3,2
3/27/2006,3,AP224,433,387,347,1557.6,1,6,5,6,176.70,1380.90,12.79600261,3,1
3/27/2006,3,AP227,342,305,277,668.5,1,7,3,6,1.50,667.00,0.224887556,3,3
3/29/2006,3,AP233,365,327,284,884.1,1,6,4,6,1.20,882.90,0.135915732,3,3
3/29/2006,3,AP244,522,475,414,2538.1,1,7,6,6,1.90,2536.20,0.074915228,3,2
3/7/2007,3,AP290,495,451,393,2423.0,1,4,,,7.20,2415.80,0.298037917,3,
3/26/2007,3,AP296,325,294,254,603.5,1,3,,,0.90,602.60,0.149352805,3,2
3/26/2007,3,AP305,446,406,353,1818.7,1,7,,,3.90,1814.80,0.214899713,3,2
3/29/2007,3,AP309,286,258,224,460.2,1,2,,,0.80,459.40,0.174140183,3,4
3/29/2007,3,AP313,448,411,355,1851.0,1,6,,,5.20,1845.80,0.281720663,3,4
3/11/2004,3,AP046,370,331,288,1031.1,1,8,2,6,20.30,1010.80,2.008310249,4,1
3/15/2004,3,AP051,405,366,318,1044.8,1,8,4,6,17.00,1027.80,1.654018291,4,2
3/18/2004,3,AP058,351,319,270,772.5,1,8,2,6,4.20,768.30,0.54666146,4,2
3/18/2004,3,AP059,318,289,246,623.2,1,8,1,6,0.60,622.60,0.096370061,4,2
3/29/2004,3,AP063,449,408,349,1630.7,1,8,3,5,2.90,1627.80,0.178154564,4,2
3/29/2004,3,AP065,360,321,278,762.1,1,8,4,6,1.50,760.60,0.197212727,4,1
3/29/2004,3,AP071,356,321,281,758.4,1,8,4,6,3.60,754.80,0.476947536,4,3
3/29/2004,3,AP072,375,337,288,874.3,1,8,5,6,7.30,867.00,0.841983852,4,2
3/23/2006,3,AP222,380,347,301,1064.2,1,8,2,6,0.50,1063.70,0.047005735,4,2
3/27/2006,3,AP226,371,334,302,903.6,1,8,5,6,3.60,900.00,0.4,4,3
3/27/2006,3,AP228,325,295,261,600.5,1,8,3,6,3.40,597.10,0.569418858,4,3
3/27/2006,3,AP229,445,396,360,1450.9,1,8,6,6,8.30,1442.60,0.575350062,4,2
3/29/2006,3,AP235,480,438,390,1938.9,1,8,6,6,2.30,1936.60,0.118764846,4,1
3/29/2006,3,AP239,495,442,381,2087.3,1,8,8,6,1.10,2086.20,0.052727447,4,2
3/29/2006,3,AP240,487,440,387,1750.0,1,8,9,6,2.10,1747.90,0.120144173,4,4
3/29/2006,3,AP243,485,456,381,1814.3,1,8,6,6,0.50,1813.80,0.027566435,4,1
3/7/2007,3,AP285,552,496,435,3422.8,1,8,,,12.60,3410.20,0.369479796,4,
3/7/2007,3,AP291,563,506,448,3680.0,1,8,,,5.10,3674.90,0.138779287,4,
3/26/2007,3,AP306,469,428,375,1694.1,1,8,,,1.50,1692.60,0.088621056,4,3
3/26/2007,3,AP307,404,364,313,1235.3,1,8,,,1.10,1234.20,0.08912656,4,3
3/29/2007,3,AP315,206,190,161,174.8,2,1,,,0.20,174.60,0.114547537,9,1
3/24/2005,3,AP154,355,320,274,705.1,1,3,2,,0.10,705.00,0.014184397,,
4/19/2004,4,AP080,409,371,315,1305.1,1,4,3,5,2.10,1303.00,0.161166539,3,2
4/19/2004,4,AP081,334,300,252,639.9,1,4,1,5,0.50,639.40,0.078198311,3,1
4/21/2005,4,AP162,560,509,455,2746.4,1,7,5,,0.90,2745.50,0.032780914,3,2
4/21/2005,4,AP163,514,458,396,2066.1,1,9,5,,0.70,2065.40,0.03389174,3,1
4/13/2006,4,AP251,443,403,347,1526.0,1,11,4,6,1.20,1524.80,0.078698846,3,4
4/2/2007,4,AP320,407,370,326,1140.6,1,5,,,1.60,1139.00,0.1404741,3,4
4/16/2007,4,AP333,479,435,387,1810.6,1,6,,,5.30,1805.30,0.293580014,3,4
4/16/2007,4,AP334,442,399,345,1436.1,1,6,,,5.30,1430.80,0.370422141,3,4
4/16/2007,4,AP335,454,402,370,1621.2,1,9,,,4.80,1616.40,0.296956199,3,4
4/16/2007,4,AP337,450,399,358,1847.2,1,6,,,4.00,1843.20,0.217013889,3,3
4/16/2007,4,AP338,484,435,376,2024.4,1,6,,,4.20,2020.20,0.207900208,3,3
4/8/2004,4,AP078,445,403,349,1492.4,1,8,5,5,1.40,1491.00,0.093896714,4,3
4/20/2005,4,AP161,373,340,294,875.7,1,8,4,,2.20,873.50,0.251860332,4,4
4/28/2005,4,AP165,425,391,330,1195.1,1,8,4,,1.20,1193.90,0.100510931,4,4
4/3/2006,4,AP245,446,401,350,1514.1,1,8,4,5,1.40,1512.70,0.092549745,4,4
4/3/2006,4,AP247,440,395,345,1578.3,1,8,3,5,2.30,1576.00,0.145939086,4,4
4/13/2006,4,AP250,427,384,327,1255.5,1,8,5,5,1.00,1254.50,0.079713033,4,4
4/16/2007,4,AP331,503,455,394,2321.2,1,6,,,5.60,2315.60,0.241837969,,
4/17/2007,4,AP342,496,453,397,2157.2,1,8,,,7.60,2149.60,0.35355415,,
